sample_name,week,rep,storage,organism,concentration
52WkDry_F_2,52,2,dry,mosquito,0
52WkDry_F_3,52,3,dry,mosquito,10.2
4WkFrozen_F_1,4,1,frozen,mosquito,0
4WkFrozen_F_2,4,2,frozen,mosquito,0
4WkFrozen_F_3,4,3,frozen,mosquito,0
8WkFrozen_F_1,8,1,frozen,mosquito,9.1
8WkFrozen_F_2,8,2,frozen,mosquito,8.98
8WkFrozen_F_3,8,3,frozen,mosquito,35.6
12WkFrozen_F_1,12,1,frozen,mosquito,10.9
12WkFrozen_F_2,12,2,frozen,mosquito,23
12WkFrozen_F_3,12,3,frozen,mosquito,26.2
16WkFrozen_F_1,16,1,frozen,mosquito,16.3
16WkFrozen_F_2,16,2,frozen,mosquito,6.46
16WkFrozen_F_3,16,3,frozen,mosquito,21.6
20WkFrozen_F_1,20,1,frozen,mosquito,0
20WkFrozen_F_2,20,2,frozen,mosquito,0
20WkFrozen_F_3,20,3,frozen,mosquito,0
24WkFrozen_F_1,24,1,frozen,mosquito,4.8
24WkFrozen_F_2,24,2,frozen,mosquito,5.5
24WkFrozen_F_3,24,3,frozen,mosquito,8.7
28WkFrozen_F_1,28,1,frozen,mosquito,4
28WkFrozen_F_2,28,2,frozen,mosquito,0
28WkFrozen_F_3,28,3,frozen,mosquito,5.18
32WkFrozen_F_1,32,1,frozen,mosquito,0
32WkFrozen_F_2,32,2,frozen,mosquito,0
32WkFrozen_F_3,32,3,frozen,mosquito,0
36WkFrozen_F_1,36,1,frozen,mosquito,6.7
36WkFrozen_F_2,36,2,frozen,mosquito,9.74
36WkFrozen_F_3,36,3,frozen,mosquito,12.5
40WkFrozen_F_1,40,1,frozen,mosquito,7.04
40WkFrozen_F_2,40,2,frozen,mosquito,0
40WkFrozen_F_3,40,3,frozen,mosquito,0
44WkFrozen_F_1,44,1,frozen,mosquito,0
44WkFrozen_F_2,44,2,frozen,mosquito,6.58
44WkFrozen_F_3,44,3,frozen,mosquito,0
48WkFrozen_F_1,48,1,frozen,mosquito,7.2
48WkFrozen_F_2,48,2,frozen,mosquito,4.8
48WkFrozen_F_3,48,3,frozen,mosquito,4
52WkFrozen_F_1,52,1,frozen,mosquito,9.46
52WkFrozen_F_2,52,2,frozen,mosquito,5.04
52WkFrozen_F_3,52,3,frozen,mosquito,9.24
