species,date_collected,weeks_dried,location,donating_institution,storage_type,extraction_method,RNA_concentration,260_280,260_230,galbut_virus_positive_qPCR,sample_id,I7_index,I5_index,sample_type,include_in_plots,R1_strand
melanogaster,2006,NA,"Davidson, NC",The Davidson College Entomology Collection,Dried,Destructive,56.8,2.08,2.06,N,Davidson2006_2,IDT8_i7_215,IDT8_i5_215,Old_Collection,T,reverse
melanogaster,2006,NA,"Davidson, NC",The Davidson College Entomology Collection,Dried,Destructive,0,1.91,2,N,Davidson2006_3,NA,NA,Old_Collection,T,reverse
melanogaster,2010,NA,"Ontario, CAN",The Centre for Biodiversity Genomics- University of Guelph,Ethanol,Destructive,0,1.73,1.88,N,PHDIP1072-11,IDT8_i7_227,IDT8_i5_227,Old_Collection,T,reverse
melanogaster,2010,NA,"Ontario, CAN",The Centre for Biodiversity Genomics- University of Guelph,Ethanol,Destructive,17.8,1.92,1.39,N,PHDIP946-11,IDT8_i7_228,IDT8_i5_228,Old_Collection,T,reverse
simulans,1952,NA,"Kauai, HI",University of Hawaii Insect Museum,Dried,Destructive,0,0.68,-4.05,N,Kauai1952_1_sim,NA,NA,Old_Collection,T,reverse
simulans,1952,NA,"Kauai, HI",University of Hawaii Insect Museum,Dried,Destructive,0,0,0,N,Kauai1952_2_sim,NA,NA,Old_Collection,T,reverse
simulans,1953,NA,"Kilauea, HI",University of Hawaii Insect Museum,Dried,Destructive,0,1.2,-7,?,Kilauea1953_1_sim,IDT8_i7_204,IDT8_i5_204,Old_Collection,T,reverse
simulans,1958,NA,"Maui, HI",University of Hawaii Insect Museum,Dried,Destructive,0,0.99,0.16,N,Maui1958_1_sim,NA,NA,Old_Collection,T,reverse
simulans,1960,NA,"Oahu, HI",University of Hawaii Insect Museum,Dried,Destructive,0,1.18,0.8,N,Oahu1960_1_sim,NA,NA,Old_Collection,T,reverse
simulans,1965,NA,"Oahu, HI",University of Hawaii Insect Museum,Dried,Destructive,0,1.64,1.76,N,Oahu1965_1_sim,IDT8_i7_207,IDT8_i5_207,Old_Collection,T,reverse
simulans,2000,NA,"Santa Barbara, CA",Santa Barbara Museum of Natural History,Dried,Destructive,17.8,1.99,1.77,N,SB_2000_sim_1,IDT8_i7_225,IDT8_i5_225,Old_Collection,T,reverse
simulans,2011,NA,"Ventura Co, CA",The Centre for Biodiversity Genomics- University of Guelph,Ethanol,Destructive,74.2,2.13,2.18,N,BBDIV1549-12,IDT8_i7_229,IDT8_i5_229,Old_Collection,T,reverse
simulans,2011,NA,"Ventura Co, CA",The Centre for Biodiversity Genomics- University of Guelph,Ethanol,Destructive,15.9,1.98,0.94,?,BBDIV1550-12,IDT8_i7_230,IDT8_i5_230,Old_Collection,T,reverse
melanogaster,NA,NA,"Unknown",Unknown,Unknown,Unknown,1,1,1,?,unknown_sample_index_228,IDT8_i7_228,IDT8_i5_228,Old_Collection,T,reverse
melanogaster,2022,0,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,Y,FoCo17_Pos,,,Fresh_frozen,T,reverse
melanogaster,2022,0,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,N,NegCtrl_NewPrep,,,negative,T,reverse
melanogaster,2022,0,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,Y,PosCtrl_Pool1,,,Fresh_frozen,T,reverse
melanogaster,2022,4,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,4WkDry_F_1,,,Experimental_dried,T,reverse
melanogaster,2022,4,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,4WkDry_F_2,,,Experimental_dried,T,reverse
melanogaster,2022,4,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,4WkDry_F_3,,,Experimental_dried,T,reverse
melanogaster,2022,8,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,8WkDry_F_1,,,Experimental_dried,T,reverse
melanogaster,2022,8,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,8WkDry_F_2,,,Experimental_dried,T,reverse
melanogaster,2022,8,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,8WkDry_F_3,,,Experimental_dried,T,reverse
melanogaster,2022,12,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,12WkDry_F_1,,,Experimental_dried,T,reverse
melanogaster,2022,12,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,12WkDry_F_2,,,Experimental_dried,T,reverse
melanogaster,2022,12,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,12WkDry_F_3,,,Experimental_dried,T,reverse
melanogaster,2022,16,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,16WkDry_F_1,,,Experimental_dried,T,reverse
melanogaster,2022,16,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,16WkDry_F_2,,,Experimental_dried,T,reverse
melanogaster,2022,16,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,16WkDry_F_3,,,Experimental_dried,T,reverse
melanogaster,2022,20,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,20WkDry_F_1,,,Experimental_dried,T,reverse
melanogaster,2022,20,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,20WkDry_F_2,,,Experimental_dried,T,reverse
melanogaster,2022,20,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,20WkDry_F_3,,,Experimental_dried,T,reverse
melanogaster,2022,24,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,24WkDry_F_1,,,Experimental_dried,T,reverse
melanogaster,2022,24,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,24WkDry_F_2,,,Experimental_dried,T,reverse
melanogaster,2022,24,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,24WkDry_F_3,,,Experimental_dried,T,reverse
melanogaster,2022,36,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,36WkDry_F_1,,,Experimental_dried,T,reverse
melanogaster,2022,36,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,36WkDry_F_2,,,Experimental_dried,T,reverse
melanogaster,2022,36,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,36WkDry_F_3,,,Experimental_dried,T,reverse
melanogaster,2022,48,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,48WkDry_F_1,,,Experimental_dried,T,reverse
melanogaster,2022,48,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,48WkDry_F_2,,,Experimental_dried,T,reverse
melanogaster,2022,48,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,48WkDry_F_3,,,Experimental_dried,T,reverse
melanogaster,2022,60,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,60WkDry_F_1,,,Experimental_dried,T,reverse
melanogaster,2022,60,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,60WkDry_F_2,,,Experimental_dried,T,reverse
melanogaster,2022,60,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,60WkDry_F_3,,,Experimental_dried,T,reverse
melanogaster,2022,72,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,72WkDry_F_1,,,Experimental_dried,T,reverse
melanogaster,2022,72,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,72WkDry_F_2,,,Experimental_dried,T,reverse
melanogaster,2022,72,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,72WkDry_F_3,,,Experimental_dried,T,reverse
melanogaster,2020,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo20_AG_1,,,wild_caught,T,reverse
melanogaster,2020,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo20_AG_2,,,wild_caught,T,reverse
melanogaster,2020,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo20_TD_1,,,wild_caught,T,reverse
melanogaster,2020,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo20_TD_2,,,wild_caught,T,reverse
