# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Feb 08 19:24:53 GMT 2023 [seed=1675884292347]
# YFV.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Americas)	age(Americas)	constant.popSize	CP1.kappa	CP2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1.alpha	CP2.alpha	CP3.alpha	CP1.nu	CP2.nu	CP3.nu	CP1.mu	CP2.mu	CP3.mu	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
1200	-12018.319236680747	-295.10388969565673	-11723.215346985091	69.18700557353148	1939.8129944264685	162.4634858136673	56.77146498127054	1952.2285350187294	1.8490744410758353	3.082074878196511	4.107188958696438	15.3738913703089	0.24024924628015829	0.2687622677743449	0.24064157466975794	0.2503469112757388	0.2681791276784426	0.3060131793850705	0.33085850937010636	0.3510427234712244	0.3200475662752225	0.32890971025355303	1.0524614226008124	0.9604469265502639	0.9870417825764896	1.0	1.0	-11723.215346985091	0.0	-127.03531937065854
1300	-11823.94290862599	-300.62621382333657	-11523.316694802654	69.15299299001614	1939.8470070099838	166.50033300024523	56.064405915400954	1952.935594084599	2.5153602275382205	3.9208394733748535	4.199453504280237	15.3738913703089	0.24024924628015829	0.2687622677743449	0.24064157466975794	0.2503469112757388	0.2681791276784426	0.2619275372930624	0.3156600590301515	0.3510427234712244	0.3200475662752225	0.32890971025355303	1.0524614226008124	0.9604469265502639	0.9870417825764896	1.0	1.0	-11523.316694802654	0.0	-128.03707194505648
1400	-11650.217700568994	-306.1645987613542	-11344.05310180764	69.07308838097887	1939.9269116190212	170.09731346126762	56.064405915400954	1952.935594084599	2.5153602275382205	4.649272550459444	4.199453504280237	15.3738913703089	0.24669741942777898	0.2512534905474854	0.24064157466975794	0.26140751535497764	0.2563042918944468	0.22871218066431567	0.3156600590301515	0.3589653561943794	0.3334504614433469	0.30758418236227364	1.0762142730348108	1.0006683524492834	0.923044927488306	1.0	1.0	-11344.05310180764	0.0	-129.85969739383265
1500	-11526.776839566848	-318.41929396157343	-11208.357545605275	69.9625129827281	1939.0374870172718	177.76345831841326	55.76572879034924	1953.2342712096508	2.5153602275382205	4.649272550459444	4.7189915940658835	15.3738913703089	0.2677680127239312	0.2446630028166357	0.22599494000405745	0.26157404445537563	0.2563042918944468	0.17323629522589618	0.24539315043964333	0.3757803630776247	0.2905502394805033	0.33366939744187196	1.1266273563495357	0.8719269068820807	1.0013253685589256	1.0	1.0	-11208.357545605275	0.0	-134.56831113475505
1600	-11473.77475644924	-331.241902645909	-11142.532853803332	71.83984126223086	1937.160158737769	185.041624061304	55.76572879034924	1953.2342712096508	2.9291068112446825	7.827456364420134	4.7189915940658835	15.3738913703089	0.2677680127239312	0.2446630028166357	0.22599494000405745	0.26157404445537563	0.2563042918944468	0.17323629522589618	0.24539315043964333	0.3757803630776247	0.2905502394805033	0.33366939744187196	1.1266273563495357	0.8719269068820807	1.0013253685589256	1.0	1.0	-11142.532853803332	0.0	-139.19383681079532
1700	-11393.268452733915	-338.0846645311791	-11055.183788202736	71.83984126223086	1937.160158737769	188.6935857109558	55.54526075169937	1953.4547392483007	2.9396669396263286	7.827456364420134	4.627740510194362	15.3738913703089	0.2677680127239312	0.2446630028166357	0.22599494000405745	0.26157404445537563	0.2202720622466346	0.14661668468271397	0.24539315043964333	0.40041587288062436	0.3191503102842283	0.2804338168351473	1.2004870946667912	0.9577543056723468	0.8415680225746769	1.0	1.0	-11055.183788202736	0.0	-142.54241141244432
1800	-11289.868321881007	-378.507390624143	-10911.360931256864	71.83984126223086	1937.160158737769	208.10165259152654	55.54526075169937	1953.4547392483007	2.9396669396263286	9.844603526601174	4.627740510194362	15.666333812168492	0.2580950496707966	0.2446630028166357	0.235667903057192	0.26157404445537563	0.2202720622466346	0.14661668468271397	0.2968956795852286	0.43153501963011964	0.3191503102842283	0.249314670085652	1.2937854292234452	0.9577543056723468	0.7481810013882162	1.0	1.0	-10911.360931256864	0.0	-163.06185438362013
1900	-11202.950438643831	-386.1713913139423	-10816.779047329888	72.8247796410962	1936.1752203589037	213.99709564835	55.54526075169937	1953.4547392483007	3.3392954453960018	9.844603526601174	7.493252115702727	15.666333812168492	0.24317241503808235	0.2446630028166357	0.24496477047475948	0.2671998116705224	0.2202720622466346	0.14661668468271397	0.286413912573578	0.51031512756692	0.29484549106766234	0.19483938136541762	1.5299761231992084	0.884816744582329	0.5847033526336725	1.0	1.0	-10816.779047329888	0.0	-164.01751220933374
2000	-11111.426978805053	-391.75637662999156	-10719.670602175062	72.8247796410962	1936.1752203589037	218.03064455888688	55.54526075169937	1953.4547392483007	3.861287044442445	7.518892409428623	7.493252115702727	15.666333812168492	0.24317241503808235	0.2446630028166357	0.24496477047475948	0.2671998116705224	0.2202720622466346	0.14661668468271397	0.286413912573578	0.51031512756692	0.29484549106766234	0.19483938136541762	1.5299761231992084	0.884816744582329	0.5847033526336725	1.0	1.0	-10719.670602175062	0.0	-165.90127895438786
2100	-11069.890959787077	-395.7748289307448	-10674.116130856331	73.59962894874846	1935.4003710512516	220.83049982623788	55.54526075169937	1953.4547392483007	3.861287044442445	7.518892409428623	7.493252115702727	15.825388799667602	0.24317241503808235	0.2446630028166357	0.24722054237407354	0.2649440397712084	0.2202720622466346	0.14661668468271397	0.3332283279325325	0.5366267170315823	0.29484549106766234	0.1685277919007553	1.6088609170642973	0.884816744582329	0.5057435732230842	1.0	1.0	-10674.116130856331	0.0	-167.01116950730264
