EL1: Electronic Ladder,A1: 4WkFrozen_F_2,B1: 4WkFrozen_F_3,C1: 8WkFrozen_F_2,D1: 8WkFrozen_F_3,E1: 12WkFrozen_F_2,F1: 12WkFrozen_F_3,G1: 16WkFrozen_F_2,H1: 16WkFrozen_F_3,A2: 20WkFrozen_F_2,B2: 20WkFrozen_F_3,C2: 24WkFrozen_F_2,D2: 24WkFrozen_F_3,E2: 36WkFrozen_F_2,F2: 36WkFrozen_F_3,G2: 48WkFrozen_F_2,H2: 48WkFrozen_F_3
0.1939974,0.08282113,0.1136854,0.0205636,0,0.06744862,0.1689048,0.07294559,0.06577492,0.3158503,0.10958,0.1577539,0.1290317,0.234087,0.06512165,0.0722394,0.02037907
0.2114682,0.1371293,0.1323256,0.03553367,0.02213073,0.06882048,0.1229229,0.2321005,0.1567025,0.3366294,0.08011866,0.09094191,0.1413479,0.2604513,0.0218358,0,0.02155304
0.3254375,0.1771162,0.2158093,0.1096623,0.1578608,0.0814209,0.1382155,0.2739062,0.1220994,0.3050833,0.05006218,0.04839897,0.117763,0.2532849,0,0.02426624,0.07936001
0.3272204,0.1292028,0.2915084,0.1531675,0.1363893,0.01390028,0.05248499,0.2801056,0.09775114,0.246675,0.0848918,0.09204483,0.2540445,0.2440386,0,0.08155918,0.123487
0.3582625,0.1370902,0.2868052,0.1652687,0.1167965,0,0.05523157,0.2737985,0.1258512,0.2549896,0.03724098,0.1332121,0.246501,0.1866994,0.02053881,0.1017556,0.1433201
0.6224704,0.1267455,0.2582035,0.1366146,0.1418934,0,0.03631639,0.2331214,0.1576567,0.226028,0.03601408,0.09692526,0.2467251,0.155364,0.1090403,0.07870483,0.2593656
0.6738214,0.09193039,0.2947462,0.07478523,0.09198284,0,0.004116535,0.1762905,0.09249783,0.267993,0.0890727,0.1397238,0.2275357,0.1826882,0.109807,0.04400444,0.3021688
0.6119556,0.01231313,0.2701735,0.051404,0.1343141,0,0.1087117,0.1409893,0.04300022,0.2788568,0.07537127,0.1124978,0.1821141,0.1615734,0.1179218,0,0.3206973
0.3347888,0,0.2233126,0,0.1464467,0,0.2053576,0.08935785,0.05122757,0.2911911,0.064116,0.06271076,0.1209121,0.1252732,0.1938224,0,0.3472915
0.1531692,0,0.2540054,0,0.1192288,0,0.1760001,0.1124144,0.0605135,0.3281865,0.06720781,0.03842258,0.09032106,0.06961107,0.07650185,0.01646709,0.2163391
0.07856035,0.02189422,0.2969131,0,0.1671596,0,0.2372246,0.1599751,0.04917049,0.3039856,0,0.05134106,0.0466342,0.1135936,0.06901026,0.04025698,0.1168513
0.02700949,0.07288027,0.2763875,0,0.125761,0,0.2403426,0.1924715,0.1914568,0.3175631,0.03493786,0.03264475,0.08445644,0.08321905,0.1012144,0,0.1085525
0,0.1874435,0.2918339,0.01951742,0.127677,0,0.2956724,0.2218289,0.1305523,0.2603965,0.09087801,0.06294346,0.09533834,0.1072192,0.05893421,0.08865166,0.07540751
0,0.2225311,0.2723815,0,0.09278417,0.005982399,0.1590314,0.2381124,0.09248924,0.2607083,0.1422262,0.0872016,0.2116075,0.09638214,0,0.1526151,0.006305218
