EL1: Electronic Ladder,A1: 40WkFrozen_F_3
26.90372,16.07763
25.56643,15.76876
24.37341,15.38715
23.58046,14.90493
22.75212,14.50151
22.14318,14.31126
21.61739,14.30474
20.96795,14.48971
20.34533,14.37238
19.55369,14.06353
18.72646,13.76533
18.06227,13.5923
17.34932,13.4998
16.862,13.44847
16.39036,13.48189
15.86924,13.52984
15.43531,13.45545
15.2607,13.34204
15.06444,13.14806
14.83599,12.78588
14.61701,12.54036
14.32147,12.5324
13.9205,12.5268
13.43469,12.69403
13.04265,12.73408
12.63771,12.593
12.33934,12.34085
12.20116,12.17383
11.92788,12.11273
11.69658,12.10593
11.36579,12.17014
10.9402,12.29992
10.75631,12.28094
10.48614,12.28735
10.28107,12.12571
10.23685,11.75873
10.16339,11.33218
9.926272,10.88507
9.68505,10.68581
9.49529,10.55194
9.363746,10.44168
9.389474,10.40112
9.438195,10.20768
9.400531,10.27073
9.311664,10.3807
9.360101,10.44528
9.367885,10.29672
9.111299,10.1986
8.719924,10.07755
8.522365,9.850199
8.265935,9.574116
8.196654,9.469414
8.012654,9.399868
7.826961,9.593697
7.440206,9.724169
7.225717,9.972118
7.17373,10.03328
6.929011,10.13347
6.670002,10.04016
6.534923,9.895147
6.438015,9.696312
6.533257,9.611259
6.545789,9.323273
6.555316,9.099316
6.438367,8.742561
6.381869,8.538021
6.320765,8.291243
6.14119,8.096033
5.945993,8.011545
5.762953,7.982464
5.588173,8.08477
5.522785,8.219784
5.494606,8.205103
5.46798,8.222111
5.308587,8.274071
5.249495,8.25104
5.238706,8.204092
5.190334,8.230139
5.051305,8.302242
4.876223,8.359913
4.631876,8.536087
4.561522,8.578995
4.465994,8.490898
4.224935,8.347134
4.138312,8.152374
4.119016,7.840321
4.15511,7.47262
4.014673,7.0718
3.865959,6.502907
3.694413,6.039068
3.649324,5.717503
3.608536,5.514549
3.568916,5.496899
3.633841,5.672762
3.723514,5.880096
3.584785,6.188143
3.514358,6.234751
3.163714,6.271379
2.882694,6.139254
2.646958,5.906187
2.617253,5.753067
2.573172,5.663353
2.59084,5.737803
2.863736,5.753626
3.039529,5.80674
3.121466,5.855543
3.130886,5.863565
3.064619,5.932768
2.924486,5.874001
2.7396,5.737967
2.625036,5.831684
2.475174,5.809904
2.33345,5.836239
2.187563,5.671137
2.065569,5.543114
1.999933,5.470518
2.030875,5.332733
1.963203,5.153282
1.873152,5.003412
1.838674,4.843412
1.825872,4.761606
1.817186,4.56666
1.836123,4.431958
1.793012,4.332808
1.7825,4.334554
1.9249,4.561262
1.99916,4.668683
1.891687,4.83172
1.915131,4.867098
1.946418,4.735186
1.912895,4.526514
1.767415,4.186517
1.615232,3.834394
1.468264,3.56862
1.344907,3.470795
1.179396,3.468296
0.9495754,3.521506
0.7550297,3.731144
0.6816721,3.805758
0.6357079,4.003204
0.4503126,4.038905
0.3876772,4.042648
0.4675207,4.02947
0.4860306,4.12529
0.439743,4.377618
0.3697405,4.596682
0.323391,4.795896
0.3896036,4.954466
0.5059566,4.801208
0.4813251,4.5358
0.4162445,3.989379
0.5166035,3.536988
0.5475368,3.162037
0.434536,2.939515
0.3445463,2.828385
0.2284632,2.704489
0.1239691,2.565881
0.05033875,2.600396
0,2.573637
0.02062321,2.570571
0,2.635659
0.06807852,2.78872
0.017869,3.07047
0.06506681,3.260668
0.05646276,3.368874
0,3.301394
0,3.134379
0,3.00351
0.09297991,2.904853
0.08575058,2.726838
0.09558344,2.687175
0.292304,2.63888
0.261899,2.578665
0.34232,2.680623
0.1876287,2.884879
0.013515,2.988457
0,3.110244
0.006629467,3.066943
0,3.122116
0,3.121505
0.1435337,3.097736
0.2025676,2.877765
0.1801243,2.569128
0.1113133,2.48107
0.0226512,2.330851
0.05610228,2.081071
0.02582645,1.979845
0,1.858333
0,1.800515
0,1.75201
0.09205103,1.764095
0.1314468,1.817776
0.2690439,1.800323
0.2967463,1.761797
0.3786311,1.613308
0.5295024,1.475567
0.49472,1.508148
0.4089923,1.609939
0.4777865,1.572343
0.3568201,1.741809
0.3574138,1.859968
0.34062,1.934872
0.3358574,1.85483
0.1729608,1.79614
0.147727,1.744646
0.179019,1.657199
0.1588535,1.671867
0.007524014,1.798748
0.06429148,1.922933
0,2.127352
0.09177399,2.185625
0.0987606,2.167856
0.02074575,2.047145
0,1.843967
0.09104633,1.673849
0.1603823,1.384798
0.2335615,1.175704
0.06519175,1.095491
0,1.110176
0,1.197296
0,1.463828
0,1.636464
0,1.691999
0.1048288,1.696497
0.1946735,1.654303
0.3086977,1.563025
0.3913779,1.574311
0.3043423,1.63245
0.37289,1.728411
0.2512898,1.899193
0.1654816,2.182843
0.1427932,2.275704
0.0832057,2.142671
0,1.976631
0,1.849096
0,1.692209
0,1.610206
0,1.452943
0.09038401,1.361645
0.01836443,1.433731
0.1315432,1.52226
0.1726341,1.526353
0.2067938,1.439217
0.1392446,1.401657
0.07437706,1.390489
0.194366,1.10418
0.1250486,0.9047832
0.1101828,0.6636791
0.1319652,0.4445305
0.05555534,0.3153877
0.005750179,0.1746988
0,0.05283356
0.1261139,0
0.2172995,0.1512232
0.2973599,0.4242144
0.3302536,0.9576044
0.2756705,1.700001
0.1657648,2.39737
0,2.953454
0,3.356632
0,3.392549
0,3.157368
0.05043316,2.708138
0.1483798,2.3682
0.2547216,2.070088
0.291894,1.947896
0.3965745,1.855502
0.4153886,1.897932
0.456738,1.921727
0.6670008,1.953168
0.6705513,1.860514
0.6792159,1.808444
0.5804296,1.678146
0.525362,1.602071
0.5910625,1.39256
0.6398182,1.161943
0.6327806,0.9848166
0.6581798,1.036314
0.6589808,0.9089556
0.6774168,0.8191805
0.5427151,0.6795902
0.4975266,0.7195988
0.42869,0.6180134
0.336771,0.4623575
0.3369617,0.2123337
0.1899681,0
0.1231194,0
0.2196927,0.05028248
0.3208256,0.1652107
0.2842078,0.3251638
0.2832747,0.4907026
0.2630801,0.8258505
0.2557712,0.87994
0.0422349,0.8402185
0,0.5810375
0,0.1566763
0,0
0,0
0.05741119,0
0.03095388,0
0.04023933,0.2381468
0.0337534,0.3979521
0.08335352,0.5545702
0.008488655,0.6687288
0.1171288,0.6997347
0.3361812,0.6560593
0.5138278,0.5928621
0.6899028,0.6531143
0.8195195,0.5501871
0.7076168,0.454566
0.5635376,0.5028811
0.4010873,0.3929424
0.1906056,0.4268208
0,0.4226465
0,0.3374863
0.0883379,0.1847534
0,0.1245871
0,0
0,0
0.01759577,0
0.1006603,0
0.004097462,0.1531191
0,0.6676483
0,1.092554
0,1.307882
0,1.412395
0,1.481093
0,1.408448
0,1.408884
0.1174908,1.396663
0.1024199,1.280304
0.06477284,1.232396
0.07107067,1.293653
0.1819453,1.237838
0.3298547,1.212264
0.2333026,1.055368
0.2720637,0.9190216
0.3218689,0.8532324
0.4563558,0.7103395
0.3584759,0.5157642
0.3213491,0.2701912
0.1099298,0.07651997
0,0
0,0
0,0.1712885
0,0.3506184
0,0.6727571
0,1.267301
0.06018877,1.936485
0,2.377031
0,2.022736
0,0.5018244
0,0
0,0
0.0526017,8.592552
0.211851,21.05455
0.3309728,34.8722
0.3165656,47.96122
0.2952315,58.01831
0.08128011,63.30787
0,62.11551
0,55.28864
0,46.02378
0,37.92532
0,30.42633
0,22.223
0,14.95238
0,8.590233
0,3.519003
0,0
