EL1: Electronic Ladder,A1: 40Wk,B1: 44Wk,C1: 48Wk
2.562199,535.5833,433.6091,548.2377
2.688143,533.9484,442.3044,566.6592
2.760905,531.6403,448.6723,583.3792
2.684251,528.1755,456.6938,597.0839
2.796084,523.4551,462.3306,606.968
2.842338,520.0539,467.4412,616.5377
2.957272,515.323,473.4736,625.4415
3.109657,511.4556,480.7652,636.1779
3.35411,508.7486,488.9186,647.6512
3.562705,504.9797,496.3947,660.2019
3.711011,503.8014,505.3028,670.2371
3.779229,500.5255,513.9201,682.7651
3.873752,498.5606,521.8037,693.6197
3.97186,496.0182,532.2144,702.3478
4.120864,493.4551,542.5598,710.4605
4.407995,492.6402,553.9917,716.9365
4.740877,492.8999,566.9686,725.1107
5.183635,494.6344,582.5562,731.7161
5.696602,498.7904,598.2465,733.9906
6.020205,504.4156,615.3396,736.394
6.294484,512.7404,633.8308,735.4954
6.550032,521.9099,651.4138,737.0937
7.067249,531.8408,672.5167,736.4796
7.607132,541.6269,694.2061,735.0554
7.999272,551.2061,715.6924,730.5632
8.483399,561.5611,739.2411,726.8297
9.100471,570.7223,761.8049,725.52
9.723855,578.9421,784.4778,722.5637
10.54847,587.1249,804.7249,718.5068
11.37495,593.9215,826.5727,716.2199
12.50006,600.2358,848.4794,714.7524
13.92115,605.0891,869.4922,713.0061
15.43674,608.8884,886.9565,711.02
17.24239,613.0193,902.3162,707.7996
19.26184,615.4215,914.4966,698.9854
21.67051,616.9451,927.004,692.3611
24.47736,618.0212,934.5889,683.6182
27.67189,619.0049,940.0828,675.0707
31.58931,622.8068,946.8148,666.0521
35.96396,621.7626,951.8765,656.4447
40.95355,622.2532,955.5513,647.9155
46.12794,624.1395,958.9321,637.3973
51.64317,623.3765,957.0953,628.4625
57.59286,624.2477,957.1611,618.7931
63.7354,625.6839,954.3434,609.302
69.85553,626.0532,952.5342,600.466
75.89359,629.0527,947.9109,591.4446
81.78076,631.0439,943.6164,584.89
87.19453,633.3829,938.8737,578.0009
91.76865,632.2109,931.7678,572.2667
95.54222,631.3774,923.2827,567.0724
98.08273,628.395,914.7944,561.4641
99.29156,622.9667,905.4492,556.9902
99.06339,615.5313,894.0641,552.5126
97.45181,609.5197,881.3477,547.3663
94.50578,601.5253,869.0582,540.9783
90.77435,594.1072,853.1268,534.2523
86.22996,585.045,836.9881,528.1974
80.70927,574.9682,819.2291,522.9075
74.90852,565.2271,799.1007,515.4678
68.94247,552.8887,776.6832,507.5862
62.84081,538.6829,753.5982,499.3556
56.55688,524.3444,729.4326,489.8236
50.46388,508.3334,703.0688,479.9512
44.74711,494.0614,675.4692,466.8631
39.44721,478.737,647.9646,451.467
34.87772,461.8364,619.8449,435.7945
30.95333,445.4095,591.8566,418.6616
27.34794,429.5028,564.5941,402.0361
24.55551,414.0002,534.8849,383.5825
22.37551,398.2938,507.5147,366.8271
20.65787,382.6894,481.5743,350.3749
19.16058,368.4862,456.5714,334.1522
18.21872,356.2216,433.6183,319.0938
17.438,344.1756,411.0352,303.4046
16.86738,332.6067,390.994,287.8616
16.64213,320.6458,372.234,273.4134
16.57688,310.4927,354.0651,257.6111
16.45852,300.937,338.4374,243.1368
16.46589,291.5982,322.8562,229.5545
16.63826,282.8384,309.6881,216.0725
16.67247,274.7358,297.9011,203.3443
16.84927,266.8081,286.635,191.4025
17.22406,259.9244,276.2659,180.3391
17.14243,253.6636,267.0248,169.9522
17.43853,247.6066,258.4394,159.8869
17.82478,242.0993,250.4235,150.2172
17.96032,237.5208,243.1755,141.2
18.25215,232.2652,237.3333,132.5626
18.41615,228.0582,231.9842,124.5921
18.5258,224.3806,227.2142,116.7052
18.76223,220.9353,222.4714,109.447
19.05353,217.3781,218.0629,102.7559
19.16386,214.6223,214.3676,96.76096
19.16387,212.489,211.3722,91.34975
