EL1: Electronic Ladder,A1: 72WkDry_F_1,B1: 72WkFrozen_F_1
94.68867,12.82439,16.03135
83.35398,12.46448,16.06984
74.50935,12.08239,16.00541
67.80062,11.71856,15.91393
62.52628,11.32743,15.66196
59.22767,10.96173,15.50335
56.75893,10.48639,15.32465
55.00687,10.20919,15.27319
53.52545,9.878946,15.17179
52.47616,9.547377,15.08744
51.44522,9.278502,15.13513
50.72421,9.084177,15.32635
49.92419,8.918627,15.43479
49.17576,8.80612,15.51524
48.30043,8.707232,15.42557
48.00196,8.625834,15.33133
47.61724,8.373358,15.2888
47.07895,8.217924,15.13018
46.92889,8.175756,14.92879
46.89749,8.095549,14.77417
46.92075,8.114031,14.60241
47.17645,8.187777,14.54166
47.48476,8.164324,14.34404
47.87957,8.228262,14.1718
48.47378,8.185194,13.89447
49.55062,8.221468,13.77934
50.41106,8.105764,13.75607
51.42236,7.916412,13.72931
52.67937,7.866526,13.79785
53.67337,7.771696,13.93403
54.70521,7.694082,14.01373
55.93967,7.559542,14.13223
57.09141,7.2866,14.04369
58.44881,7.135796,13.91377
60.30965,6.970898,13.54512
62.52384,6.855043,13.27306
64.87007,6.744862,12.83104
67.41753,6.567337,12.62454
69.9974,6.341257,12.31623
72.6283,6.143778,12.20147
74.83287,5.828121,12.34942
76.90598,5.597818,12.41144
78.17733,5.201239,12.35028
79.09708,4.942696,11.88754
79.85885,4.561134,11.81118
80.00867,4.210655,11.90358
80.23985,4.088268,12.22659
79.97934,3.882639,12.84414
80.12814,3.667231,13.32216
80.21479,3.668667,14.07116
80.91386,3.720448,14.6736
81.86594,3.797388,14.84251
83.06207,3.955784,14.78901
85.35784,4.190573,14.2268
88.39478,4.41625,13.99433
92.76147,4.670031,13.6076
100.2734,5.028254,13.29478
111.2732,5.28878,12.84422
129.5123,5.553699,12.40002
159.4942,5.768084,12.07121
202.4525,5.972383,11.85074
258.2606,6.057238,11.80155
319.0791,6.303545,11.88292
380.6234,6.541166,11.85618
434.3946,6.793995,11.73976
474.1948,6.857304,11.68184
496.6637,7.039938,11.47087
499.2065,7.217581,11.14589
485.083,7.311066,10.9799
460.3896,7.278978,10.85232
427.2648,7.300947,10.83719
391.7967,7.216007,10.90186
351.8622,7.249186,11.04742
313.5379,7.310062,10.95111
275.9799,7.183846,10.80867
241.4358,7.04232,10.71862
210.9331,7.005283,10.63496
184.3872,6.935791,10.55997
161.9705,6.877687,10.51712
143.8161,6.87211,10.59076
128.2083,6.907108,10.56063
116.2876,7.00494,10.60916
106.7961,7.256418,10.68317
100.4204,7.388525,10.65854
95.38192,7.517105,10.62853
93.35226,7.782898,10.63678
92.64267,7.889347,10.63521
94.22371,7.993382,10.64552
96.90433,8.068747,10.60729
102.3827,7.971546,10.61613
110.2861,7.892733,10.56415
122.4735,7.794016,10.44597
141.3798,7.749794,10.50029
170.7986,7.640959,10.57331
210.9362,7.682367,10.56303
259.3776,7.824654,10.78513
308.4174,7.952816,10.91339
355.5263,8.091898,11.11852
393.5872,8.128691,11.25826
419.0917,8.155115,11.44778
428.2565,8.280046,11.60561
422.171,8.324339,11.6586
403.9083,8.489378,11.66922
378.5743,8.571302,11.77649
349.6916,8.641886,11.86297
318.0304,8.786524,12.14906
283.594,8.980486,12.20018
251.2514,9.102045,12.3403
219.5008,9.250372,12.46418
189.4948,9.483229,12.51094
161.8502,9.681604,12.53141
137.637,9.856314,12.62598
116.0849,10.03187,12.61997
97.27939,10.1065,12.83637
82.55047,10.20229,12.95455
70.45276,10.10037,13.28631
60.37433,10.17301,13.45258
52.84796,10.23411,13.69962
46.54646,10.33444,13.9011
41.43076,10.38579,13.954
37.51205,10.45395,14.04904
34.6571,10.5507,14.20253
32.13435,10.59366,14.20035
30.0269,10.53243,14.27617
28.46075,10.50376,14.30368
26.90372,10.32612,14.52888
25.56643,10.41533,14.67397
24.37341,10.38782,14.86223
23.58046,10.36738,15.07086
22.75212,10.23523,15.33132
22.14318,10.04794,15.63847
21.61739,9.975554,15.83878
20.96795,9.850649,15.91078
20.34533,9.705915,15.95575
19.55369,9.76335,16.07975
18.72646,9.828257,16.24265
18.06227,9.96776,16.28655
17.34932,9.960104,16.23489
16.862,9.902731,16.29774
16.39036,9.764112,16.44131
15.86924,9.423223,16.56498
15.43531,9.212767,16.59658
15.2607,9.046289,16.62415
15.06444,8.833902,16.61594
14.83599,8.743593,16.67944
14.61701,8.645624,16.6865
14.32147,8.613195,16.63962
13.9205,8.524057,16.61001
13.43469,8.355013,16.58679
13.04265,8.072912,16.48267
12.63771,7.694237,16.39662
12.33934,7.319456,16.40294
12.20116,7.160513,16.19222
11.92788,6.985676,15.95688
11.69658,6.958057,15.90586
11.36579,7.036081,15.92424
10.9402,7.18301,16.01848
10.75631,7.305378,16.13738
10.48614,7.215847,16.21255
10.28107,7.176443,16.12304
10.23685,6.927101,16.18521
10.16339,6.582767,16.21389
9.926272,6.525476,16.00797
9.68505,6.33511,15.92603
9.49529,6.176662,15.98119
9.363746,6.083185,15.95832
9.389474,5.944897,15.87585
9.438195,5.839291,15.78173
9.400531,5.782475,15.55725
9.311664,5.838314,15.24967
9.360101,5.734791,15.00253
9.367885,5.802284,14.79837
9.111299,5.91465,14.60912
8.719924,5.817247,14.51244
8.522365,5.693323,14.45786
8.265935,5.591793,14.38488
8.196654,5.458525,14.42291
