EL1: Electronic Ladder,A1: 4Wk_frozen,B1: 8Wk_frozen,C1: 12Wk_frozen,D1: 16Wk_frozen,E1: 20Wk_frozen,F1: 24Wk_frozen,G1: 36Wk_frozen,H1: 48Wk_frozen,A2: 60Wk_frozen
7.060751,0.1653874,0,0.01479292,0,0.001681805,0.019804,0,0.2527761,0
9.01142,0.1884069,0.09056234,0.03566217,0.0293746,0,0,0,0.2165551,0.02798986
11.38547,0.1913049,0.154892,0.0322361,0.1619401,0,0.04496241,0,0.1393347,0.06430006
14.12005,0.113874,0.1467557,0,0.227562,0,0.03145409,0,0.1641288,0.05579233
17.26014,0.1733418,0.03177881,0,0.3575816,0.0971899,0,0,0.04120636,0.07378149
20.97051,0.1460142,0.07187557,0,0.3518944,0.04349232,0,0.002313614,0.1110301,0.003290653
25.3254,0.06746745,0.1002064,0.004940033,0.3192282,0.05115843,0.06948137,0.07216835,0.1869159,0
30.42628,0.05073404,0,0.02536106,0.2950754,0.01412678,0.1066384,0.1179423,0.2322326,0
36.0128,0.04633522,0,0.01571608,0.1910334,0.01548719,0.09649038,0.1699476,0.1504087,0
42.3921,0.1037588,0,0,0.1762934,0,0.1213865,0.2341404,0.1961508,0
49.75721,0.1471255,0,0,0.05305481,0.04177856,0.1177764,0.1882167,0.1116834,0.04988384
58.11675,0.1560373,0.0367527,0,0,0.1053138,0.09954357,0.1574998,0.1496568,0.1558342
67.09781,0.1415448,0.194366,0,0.03299522,0.04562426,0.09384823,0.03365135,0.1105189,0.2224135
76.59318,0.04932761,0.1962943,0,0.112875,0.05815029,0.049366,0.0365243,0.1251507,0.1923904
86.53235,0.02340579,0.09395695,0,0.1580005,0.09554291,0.06432009,0.06221914,0.1523623,0.1568227
96.71154,0.09584999,0.1563683,0,0.1960421,0.1120028,0.1373053,0.1447163,0.2061181,0.1330767
107.3292,0.1326954,0.1184883,0,0.1862693,0.03732204,0.1175351,0.2058096,0.1855407,0.2246895
118.0085,0.2874603,0.01409626,0.01016903,0.1321268,0.08581448,0.09754896,0.2638612,0.1488037,0.2215066
128.5506,0.2833314,0.05300617,0.0397954,0.1132941,0.02332783,0.08046722,0.1921935,0.05309153,0.2129421
138.9781,0.3713491,0.02428627,0.005385876,0.06204748,0,0.07586145,0.1202812,0.0702219,0.2807503
148.6813,0.3126616,0,0.01724148,0,0.1034179,0.1157722,0.05381823,0,0.3614664
158.0438,0.3058665,0,0,0.01420784,0.142108,0.02242613,0.007951736,0.04118919,0.3802605
165.8421,0.1968217,0.02092171,0.01203966,0.04662848,0.1413331,0,0.0265069,0.1218429,0.3657303
172.4071,0.0208714,0,0.03389692,0.1789174,0.1287746,0.07123423,0.09809589,0.2055731,0.422595
177.1938,0.01496243,0,0.006017208,0.1731887,0.169189,0.0331111,0.1621256,0.3320684,0.3359904
180.721,0.125596,0,0,0.1435771,0.2292051,0,0.1562853,0.2341628,0.3676286
182.7976,0.1158373,0,0,0.1463037,0.1058507,0.03528976,0.09804296,0.09252357,0.4504623
184.0034,0.1701927,0.01766968,0,0.1285453,0.1633596,0,0.02751923,0.0886302,0.3423953
183.7612,0.2320526,0.01407766,0.02535343,0.2718415,0,0,0.01634598,0.04489279,0.2441583
182.0963,0.2852523,0,0.05445433,0.2253628,0,0,0,0,0.1814814
179.2551,0.1640148,0,0.07008505,0.1758647,0,0,0.006161213,0,0.07764578
