EL1: Electronic Ladder,A1: OC_ReSeq_2_Pool_Redo
12.54973,71.87138
13.20405,69.53566
14.03823,67.18804
15.04795,64.81
17.90347,62.51228
22.92286,60.10625
30.19792,57.72993
41.67628,55.37247
57.07196,53.03484
77.54547,50.73261
102.4994,48.62006
130.866,46.64931
161.3122,44.7089
193.249,42.80693
224.7806,41.16537
250.3039,39.77018
267.588,38.20809
276.7812,36.76683
277.9132,35.36058
270.936,34.07977
256.6485,32.87708
236.7422,31.76328
213.4106,30.60951
189.611,29.43351
165.4364,28.34764
140.4416,27.37377
116.7687,26.12358
95.30475,24.91425
78.38815,23.73904
63.94215,22.90004
52.05269,22.12397
43.23969,21.38707
36.1459,20.71976
31.40679,20.17447
27.64129,19.46268
24.99441,18.76818
22.95317,17.95391
21.00478,17.04116
20.22138,16.22229
19.06683,15.63578
18.32758,14.90989
17.52377,14.12284
17.14585,13.56892
16.89244,13.09367
16.534,12.52804
16.19329,11.95944
15.56847,11.40727
15.18685,10.79584
15.02296,10.31227
14.78023,9.871786
15.15322,9.585947
14.85578,9.194656
15.29782,8.951218
16.45119,8.602361
19.9352,8.207674
26.48277,7.778841
36.8756,7.29046
52.55463,6.794986
73.53182,6.487636
99.71439,6.19305
130.9431,6.099315
164.3421,5.891707
197.863,5.591161
229.6416,5.139392
255.2997,5.00455
272.0539,4.865352
280.9021,4.589807
281.1949,4.373345
273.7433,4.276656
260.7248,4.118459
243.7106,4.022346
222.4946,3.798843
199.1557,3.490951
174.7769,3.242246
149.2478,3.168285
124.4365,3.010057
102.7355,2.656217
83.51237,2.364064
67.56013,2.176508
55.17316,1.986452
45.40331,1.895561
37.15411,1.800483
30.85372,1.737794
25.63291,1.848396
21.894,1.976415
19.45236,1.903089
17.82267,1.842879
16.36464,1.821282
15.11574,1.696747
13.77422,1.524004
12.86562,1.310053
12.34408,1.122344
11.70641,0.9628038
11.25155,1.017264
10.70545,1.024351
10.57064,0.909718
10.5379,1.000772
10.11487,1.111854
10.11482,1.166388
9.490155,1.142056
9.073303,1.057978
8.754914,1.037041
8.153782,0.8946323
7.680708,0.8405218
7.233658,0.8397727
6.677608,0.6698637
6.409953,0.5111356
6.372099,0.4676623
6.483318,0.4499216
6.559832,0.4030356
6.918834,0.400105
7.451155,0.3147836
7.841558,0.2374716
8.292227,0.3683825
8.811349,0.4175711
9.275139,0.4660873
9.638217,0.3438067
10.2337,0.3162084
10.7356,0.2782292
11.20992,0.3235254
11.55637,0.353673
11.46242,0.2754707
10.99326,0.3291497
10.58172,0.4001994
10.13462,0.2977319
9.886796,0.3450713
9.312107,0.1931362
9.506276,0.05930376
9.77046,0.06215954
9.693025,0.04251623
10.13363,0.03565311
9.819634,0.07933712
9.939645,0.154088
10.48323,0.3001008
10.63884,0.3019919
11.94258,0.3674746
14.4535,0.4745474
20.11453,0.3990536
30.38932,0.4068513
46.7708,0.2535005
69.59511,0.1263242
98.3024,0.1476102
132.8254,0.236146
170.0964,0.1475253
204.8935,0.04788876
