A1: Ladder,B1: PHDIP1072-11,C1: StPaul1919_1,D1: Oahu1950_1_mel,E1: Oahu1950_2_mel,F1: Honolulu1951_mel,G1: Kauai1954_mel,H1: Oahu1960_sim,A2: Kilaueau1953_sim,B2: Kauai_1952_sim,C2: Maui1958_sim,D2: Oahu1965_sim
0.69521,0.1185899,0.2243612,0.8420761,0.4278164,0.2355843,0.2433095,0.2555027,0.2467632,0.0754106,0.5906363,0.4216027
0.541713,0.0002644062,0.3066278,0.8868368,0.4200375,0.2896156,0.1466169,0.2164268,0.3577197,0.05216813,0.6122561,0.4251513
0.3871841,0.05555534,0.318496,0.8267832,0.5147192,0.2706194,0.1986918,0.2211261,0.4434981,0.02256894,0.5940576,0.2858901
0.2766399,0.1307693,0.3499351,0.685657,0.548049,0.3030944,0.2022572,0.2449021,0.3998129,0.02230144,0.5793061,0.2016807
0.07317209,0.07221913,0.3170297,0.4292188,0.4750962,0.2708859,0.3565354,0.3085942,0.4988086,0.1001477,0.5629478,0.04339981
0,0.08031559,0.3198307,0.1763711,0.3500431,0.2410092,0.3195214,0.2812357,0.5424705,0.1216929,0.5740561,0.07399368
0.07525611,0.1486294,0.2980883,0.06352186,0.1768856,0.1391749,0.2220182,0.2291384,0.5012295,0.1509864,0.5318873,0.1467042
0.03818989,0.02881813,0.3401968,0,0.05050969,0.2732778,0.08841085,0.2326603,0.4145617,0.04907346,0.4259093,0.2219853
0.03816676,0.05138063,0.3911779,0.08504891,0,0.252914,0.1361265,0.2821531,0.3689642,0.1235244,0.2326679,0.34515
0.2520604,0.1302266,0.4833794,0.2888708,0.02260041,0.2826481,0.1544652,0.3018355,0.3226638,0.07254672,0.2177818,0.5131593
0.2782252,0.07814169,0.457624,0.4244583,0.04286838,0.3016191,0,0.1930265,0.2735884,0.01510382,0.1843963,0.5752392
0.3630836,0,0.4772079,0.5540609,0.1202085,0.275496,0.03727102,0.2167549,0.2495449,0.167001,0.1921539,0.4974265
0.3486557,0.07314849,0.4179876,0.6568623,0.327992,0.3590736,0.09585285,0.07379866,0.2080681,0.2498286,0.1605124,0.4499884
0.3518536,0.04227328,0.4122994,0.6505475,0.4012907,0.3861423,0.1851349,0.1483755,0.1546848,0.4025173,0.3122888,0.2729702
0.3154931,0.04007626,0.3629673,0.6353829,0.3936279,0.386898,0.3393316,0.191637,0.2381587,0.4332314,0.3657501,0.1767454
0.3440125,0.09594107,0.3870976,0.5509453,0.2314575,0.3291178,0.3617864,0.08002949,0.2088735,0.46837,0.4086137,0.175312
0.3630967,0.1493404,0.3159575,0.4945791,0.1853337,0.1743283,0.3964472,0.1146469,0.2329345,0.3845026,0.4546576,0.09626913
0.2308595,0.1103213,0.2726128,0.4779596,0.2152965,0.04095411,0.4136958,0.1282649,0.2124748,0.3377686,0.4303365,0.01103878
0.224148,0.1820669,0.2311263,0.5950618,0.1756411,0.0282073,0.4596334,0.128263,0.2966356,0.3205426,0.3630705,0.01833153
0.263613,0.1981585,0.1718121,0.6640022,0.2068081,0.03781891,0.4614911,0.01450872,0.2707319,0.2703712,0.299181,0.08297062
0.2554088,0.186888,0.09722352,0.7082593,0.3692985,0.1384978,0.3267455,0.04491615,0.1152611,0.1809542,0.2566402,0.07018471
0.3569698,0.1334436,0.03143191,0.7815983,0.4439888,0.2205591,0.2892251,0.0645113,0.04763579,0.3812833,0.233223,0.09786558
0.2122309,0.2226243,0,0.7391915,0.5298753,0.3036127,0.218163,0,0.004558563,0.5435669,0.2878342,0.2499757
0.2944252,0.2350955,0.1997941,0.6881642,0.396915,0.2552695,0.1664495,0.05958796,0.1082871,0.6970172,0.4284759,0.1596055
0.3320875,0.2799549,0.4239883,0.5858285,0.383256,0.3221192,0.1361051,0.08824444,0.2094605,0.8373547,0.3920369,0.1915731
0.2610681,0.3508005,0.7125947,0.4534335,0.3056345,0.396862,0.1049056,0.0564208,0.2366626,1.050285,0.3915167,0.2652965
0.2456963,0.346637,0.9280105,0.4821088,0.4486423,0.250329,0.161839,0.1546502,0.3920469,1.205221,0.4234829,0.3272085
0.1128607,0.3542421,1.183536,0.5193121,0.5998333,0,0.2089071,0.1780457,0.6423686,1.614361,0.4282913,0.2349396
0.1209285,0.4432137,1.546771,0.6722157,0.8381116,0.09735441,0.2524533,0.06673717,0.9875088,2.037943,0.3356633,0.2985177
0,0.5587175,1.906959,0.7480152,1.029967,0.123168,0.3968101,0,1.140488,2.626642,0.3804774,0.3796663
0.0622189,0.665395,2.392416,0.7631845,1.443519,0.1656294,0.4775944,0.06627035,1.308643,3.306568,0.4708972,0.3865037
0.2107255,0.8282955,2.841849,0.8126442,1.848306,0.1760259,0.5664539,0.05537796,1.640525,4.235393,0.4299388,0.4564514
0.2516325,1.038193,3.591226,0.7849536,2.370376,0.1911101,0.6044536,0.08185959,2.107427,5.417227,0.4202218,0.5159326
0.3816476,1.275897,4.597838,0.9005399,3.115289,0.1710448,0.4887948,0.05360651,2.677433,6.754294,0.5314996,0.3606763
0.3743892,1.660236,5.806254,0.901237,4.074628,0.3587151,0.3767838,0.09531927,3.304801,8.353751,0.5464163,0.2636418
0.3659363,2.03213,7.074338,0.9556997,5.114182,0.5302057,0.323379,0.102282,4.101547,10.18054,0.6486278,0.2568493
0.3851321,2.3899,8.525113,1.117451,6.421079,0.4089751,0.3591142,0.179584,5.146781,12.33987,0.7173724,0.2178721
0.1853638,2.895786,10.2887,1.197027,7.990126,0.2671337,0.3694205,0.1423645,6.567979,14.80736,0.8756957,0.08979464
0.1739099,3.489982,12.26772,1.461219,9.825104,0.2872629,0.4526558,0.1413221,8.120749,17.3843,0.9820442,0.05621433
0.03870583,4.095708,14.47017,1.626598,11.93625,0.3001523,0.629549,0.2911325,9.930424,20.31825,1.295021,0
0.07733917,4.874918,16.96052,1.961152,14.48146,0.2969465,0.697536,0.2576041,12.15917,23.40139,1.596381,6.484985E-05
0.06157207,5.774085,19.65225,2.553332,17.55099,0.3165722,0.8905039,0.2158771,14.79294,26.68236,1.944381,0.06448317
0.05501795,6.786852,22.58983,3.22906,21.04884,0.4340954,1.112891,0.1355057,17.86489,30.47551,2.612858,0.1040792
0.05911183,7.928328,25.6506,4.190576,25.07863,0.5912399,1.365871,0.1045976,21.30648,34.20341,3.413383,0.1161246
0.009394646,9.104712,28.84098,5.297482,29.50508,0.8430977,1.784914,0.05494308,25.21543,38.18921,4.241845,0.1913462
0.08765221,10.27365,32.09631,6.682221,34.08215,1.166434,2.432811,0.004834175,29.47987,42.41579,5.386627,0.3204069
0.1284242,11.54226,35.51168,8.295948,38.93964,1.438043,3.122878,0,34.02031,46.87987,6.813695,0.4342518
0.1434619,12.77835,39.09363,10.22682,44.10383,1.820318,4.004433,0.03138542,39.01937,51.34407,8.500622,0.4779081
0.2914784,14.05572,42.63027,12.54582,49.60856,2.270482,5.118342,0.2164679,44.44843,55.75941,10.44937,0.3843493
0.3098638,15.34916,46.19797,15.12327,55.56868,2.927468,6.442598,0.3191924,50.18047,60.38853,12.78754,0.2444863
0.3622878,16.79739,49.85502,18.13764,61.78746,3.762908,7.790356,0.2574563,56.365,65.13567,15.35097,0.2427273
0.3756285,18.24483,53.62403,21.62919,68.47431,4.801743,9.664453,0.3894944,62.80433,69.66309,18.38427,0.2301326
0.5311806,19.6563,57.21205,25.52723,75.41422,6.069743,11.8105,0.4004703,69.40799,74.29462,21.79749,0.1864557
