EL1: Electronic Ladder,A1: 4WkDry_F_2,B1: 4Wk_Dry_F_3,C1: 8WkDry_F_2,D1: 8WkDry_F_3,E1: 12WkDry_F_2,F1: 12WkDry_F_3,G1: 16WkDry_F_2,H1: 16WkDry_F_3,A2: 20WkDry_F_2,B2: 20WkDry_F_3,C2: 24WkDry_F_2,D2: 24WkDry_F_3,E2: 36WkDry_F_2,F2: 36WkDry_F_3,G2: 48WkDry_F_2,H2: 48WkDry_F_3
0,0.09779692,0.1406097,44.84977,0,0.02303362,0.05843115,0.04646015,0.108902,0.2820258,0,0.4163108,0.08288622,0.5659189,0.2234282,0,0.1285233
0,0.1834812,0.194437,41.15782,0,0.08285046,0.08523464,0.02898264,0.1708417,0.3485432,0,0.4062696,0.07913399,0.5266085,0.2136159,0.07737541,0
0,0.1340151,0.2756224,37.60726,0,0,0.01069117,0.0006508827,0.1684723,0.3210444,0,0.3417807,0,0.4540439,0.1246862,0.04741096,0
0,0.1522145,0.3555875,34.28286,0,0.05629158,0,0.01903486,0.2342377,0.3406534,0,0.3439217,0.03476334,0.3826499,0.1847949,0.08967733,0.008553982
0,0.1047668,0.3918262,31.32172,0,0.102828,0,0.04593182,0.2421799,0.3071837,0.01794291,0.3055997,0,0.2592049,0.0768609,0.14325,0
0,0.1797099,0.3397589,28.75035,0,0,0,0.002817631,0.2297611,0.3052845,0.03657484,0.3146157,0,0.2238665,0.05174017,0.1661158,0.1497836
0,0.2129474,0.259429,26.43002,0.03296041,0,0.006847382,0.06099319,0.2605453,0.1585641,0.03357983,0.2602267,0,0.1317239,0.04593706,0.1899023,0.2186775
0,0.1328621,0.1676965,24.4409,0,0,0.05318546,0,0.2360768,0.1722717,0.04104233,0.3028855,0.02496052,0.06334877,0.04000902,0.1981821,0.2098336
0,0.1149564,0.1823473,22.75069,0,0,0,0,0.204855,0.1077089,0.09027147,0.2526884,0.05991793,0.06822729,0.08676624,0.2084656,0.2129111
0.3040228,0.1020751,0.08827829,21.4721,0.02717018,0,0,0,0.189846,0.06401873,0.1192484,0.2182093,0.1272697,0.1010733,0.1135268,0.1862364,0.0858779
1.405515,0.07608557,0,20.50436,0.03550959,0.08728075,0,0,0.215796,0,0,0.07674694,0.1577477,0.1374884,0.06383562,0.2298112,0.01872349
2.834507,0.1532402,0,19.67893,0.04729748,0.165904,0,0,0.140347,0,0,0.037848,0.2278223,0.133687,0.05721283,0.125813,0.03822756
4.043449,0.2036638,0,19.0542,0.05828571,0.1639242,0.05280399,0.01248407,0,0.02979517,0.05597973,0.03328609,0.2889371,0.1895118,0,0.1079459,0.1035171
5.409372,0.1898899,0,18.4471,0.03728151,0.1611733,0.1646037,0.08605194,0.005212784,0.1261234,0.157845,0.08609772,0.3479338,0.1565642,0.09412098,0.0879674,0.1817164
7.060751,0.1923656,0.0195117,17.92409,0.06439018,0.1942973,0.2163534,0.1492157,0,0.2288756,0.2359581,0.02901697,0.2716336,0.09666252,0.08379602,0.1540051,0.190331
9.01142,0.2556181,0.03467464,17.51426,0.05788898,0.0398674,0.2427521,0.1563439,0,0.3534613,0.202343,0.07135677,0.2220592,0.09401417,0.1879272,0.120719,0.221859
11.38547,0.1687999,0,17.04053,0,0.02812147,0.3393483,0.05557013,0.04871464,0.3747773,0.194972,0.1356959,0.175148,0.06740236,0.216795,0.07132483,0.1826239
14.12005,0.1081824,0.05070305,16.75106,0,0.04094124,0.3655477,0,0.1572905,0.401403,0.2330837,0.2343559,0.1209455,0.0484724,0.2325649,0.1026564,0.0923624
17.26014,0.1267576,0.08291721,16.50666,0,0.009991169,0.3305054,0.05237293,0.1702523,0.2582135,0.2146516,0.1506405,0.09033155,0.08177757,0.2468529,0.2042589,0.02032185
20.97051,0.008978844,0.05060863,16.34124,0,0,0.3322687,0.03326082,0.2418637,0.1710792,0.08086205,0.05820704,0.07642555,0.06255674,0.2012677,0.2030764,0
25.3254,0.04421997,0.05307531,16.25205,0.04722643,0.01694632,0.2964568,0,0.2346292,0.03317976,0.008033752,0,0.0681653,0.05851173,0.1546106,0.2446208,0
30.42628,0.07697916,0.1296945,16.06249,0,0,0.2182422,0,0.3219209,0,0.02018976,0,0.1014304,0.1393003,0.1481895,0.2260771,0
36.0128,0.09217644,0.1015124,15.88074,0,0.04603148,0.1492238,0,0.2419834,0.01939058,0,0.02859592,0.2020941,0.2055845,0.08641577,0.1615343,0
42.3921,0.1549253,0.08656597,15.66743,0,0.07281351,0.01574183,0,0.2472095,0,0.1042614,0.05502987,0.2387052,0.2247405,0.0401907,0.04819775,0.0001182556
49.75721,0.2480764,0.06391525,15.49278,0,0.1683197,0,0,0.1497345,0,0.1209025,0.027071,0.1357608,0.2805419,0,0.1209464,0
58.11675,0.347343,0,15.3295,0,0.210844,0.06103849,0,0.1092591,0,0.1373529,0.122077,0.1597328,0.3398833,0.09066343,0.04127359,0.01145458
67.09781,0.3667521,0,15.08388,0,0.336165,0.04066277,0,0.08444977,0.09357643,0.1984615,0.2439165,0.1577744,0.3709817,0.1290188,0.07265377,0.07151699
76.59318,0.4235587,0,15.02892,0,0.493001,0.01468182,0,0.1017313,0.175509,0.1911016,0.2662559,0.1599131,0.3008208,0.1403947,0.1420527,0.1124749
86.53235,0.4280982,0,14.93187,0,0.487946,0.027174,0,0.07523012,0.2741733,0.2026863,0.266046,0.1461186,0.203042,0.1221962,0.2161698,0.1426115
96.71154,0.3679962,0.0306344,14.87952,0,0.4270091,0.1096678,0.02462101,0.1296225,0.3505325,0.2199731,0.236196,0.08962297,0.09666681,0.1755624,0.192914,0.1774869
107.3292,0.3864989,0.02333927,14.82858,0.002006531,0.406528,0.1939349,0,0.2114873,0.3636699,0.1941266,0.1994743,0.05290222,0,0.2177191,0.2671313,0.1658931
118.0085,0.3393002,0.03490829,14.73467,0,0.3139362,0.1957412,0,0.3287673,0.3878188,0.109252,0.2632442,0.06776476,0,0.219965,0.2882853,0.1113539
128.5506,0.3116622,0.01957369,14.57387,0.06108665,0.2577162,0.1464581,0,0.246222,0.3219948,0.112093,0.2091599,0.1422052,0,0.1970105,0.2374525,0.0344038
138.9781,0.2705936,0.03102922,14.48864,0.07127333,0.08892488,0.09566545,0,0.2181535,0.2663507,0.1644373,0.1733594,0.1090016,0,0.2003431,0.2208591,0.04383898
148.6813,0.1601329,0,14.46198,0,0,0.118207,0,0.09651089,0.1372199,0.1533761,0.06996822,0.0837903,0,0.1686215,0.2909203,0.1019835
158.0438,0.06322718,0,14.37034,0,0,0.1405582,0,0.02787733,0.1716814,0.1057153,0.01609945,0.1654587,0.00996685,0.1543632,0.2220879,0.07563496
165.8421,0.0427599,0,14.31423,0,0,0.03677559,0,0.006459236,0.06747484,0.06014013,0.05010319,0.2130013,0.136497,0.04253435,0.1875601,0.107039
