EL1: Electronic Ladder,A1: 40WkFrozen_F_2,B1: 40WkFrozen_F_3,C1: 44WkFrozen_F_2,D1: 44WkFrozen_F_3,E1: 48WkFrozen_F_2,F1: 48WkFrozen_F_3,G1: 52WkFrozen_F_2,H1: 52WkFrozen_F_3,A2: 52WkFrozen_F_3
9.01142,0,0,9.523681,0,0.03780985,0,0.104538,0.06769276,0.2339931
11.38547,0,0,9.662215,0.002407312,0.08363485,0,0.1120276,0.05606794,0.1280637
14.12005,0.01353121,0.003740311,9.836857,0.1247418,0.03613615,0,0.134038,0.07700682,0.09585381
17.26014,0,0,9.885818,0.2740457,0.06266785,0,0.1929255,0,0.1536598
20.97051,0,0,9.966598,0.287178,0.05918884,0,0.1441574,0.02171516,0.07764101
25.3254,0,0,10.03443,0.2159784,0.06809521,0,0.02190542,0.148746,0.1042666
30.42628,0,0,9.914831,0.2801003,0.04216957,0.01602459,0.1885309,0.1836786,0.2261782
36.0128,0,0,9.789698,0.3212485,0,0.04625177,0.2903233,0.1963644,0.1551442
42.3921,0,0,9.763783,0.2616291,0,0.03880119,0.3118644,0.2098684,0.09740353
49.75721,0,0,9.757953,0.1583507,0.05700111,0.04927683,0.2896214,0.1738954,0.008256435
58.11675,0,0,9.776947,0.1248593,0.1049948,0,0.3155093,0.1422405,0
67.09781,0,0,9.699677,0.1984048,0.09586287,0,0.280005,0.06510782,0
76.59318,0,0,9.89019,0.1696463,0.09290743,0,0.2801142,0.01643324,0
86.53235,0,0,9.917062,0.2037568,0.1446018,0,0.2710814,0.006356239,0.03784227
96.71154,0,0,9.93258,0.1506615,0.1756792,0,0.1622181,0.0848093,0
107.3292,0,0,10.04211,0.109462,0.08530378,0,0.1238151,0,0.06771803
118.0085,0,0,10.04897,0.1799941,0.05188751,0,0.1769404,0,0.1338639
128.5506,0,0,10.15502,0.1675346,0.02015305,0,0.1969099,0,0.03079939
138.9781,0,0,10.19423,0.1359136,0.03738546,0,0.1237659,0.04723263,0.05334806
148.6813,0,0,10.14922,0.06876016,0.0836091,0.007380009,0.05423212,0,0.02145529
158.0438,0,0,10.11449,0.1364431,0.149806,0.09433603,0,0.06564856,0.04673767
165.8421,0,0,10.05781,0.2247281,0.1526756,0.1593723,0,0.1172261,0.01875067
172.4071,0,0.3964405,10.13674,0.09107852,0.1424932,0.2566643,0,0.161777,0.009790897
177.1938,0,0.9606552,10.14632,0.08482409,0.1907706,0.2380829,0,0.1114883,0.02998829
180.721,0,1.700938,10.11613,0.05097485,0.2722878,0.2530136,0.0306859,0.05477476,0.01839209
182.7976,0.7986317,2.583229,10.19399,0.05377865,0.2247615,0.2066169,0.0613966,0.0503788,0
