EL1: Electronic Ladder,A1: Fresh_M,B1: Fresh_F
132.5022,20.79341,30.39309
163.1454,21.25157,30.80898
200.3711,21.95486,31.34233
243.9467,22.81144,31.97617
291.2039,23.85692,32.90768
338.1341,25.10406,34.08209
378.441,26.39795,35.49388
410.5762,27.36979,36.91283
429.4778,28.24129,38.17834
434.5762,28.84188,39.30923
424.2587,29.13169,40.35599
401.0224,29.19653,41.11943
367.8916,28.92452,41.49213
328.8126,28.62363,41.55091
286.2986,28.28293,41.39155
243.6584,27.93928,41.32833
203.4726,27.34648,41.13134
168.3684,26.50688,40.90311
138.6168,25.52292,40.6429
115.0981,24.59087,40.41647
96.43207,23.58401,40.36633
83.11102,22.72721,40.13656
73.37795,21.67853,39.98505
66.56516,20.81668,40.00501
61.43027,20.07305,40.22048
57.54845,19.41494,40.66905
54.54342,18.76556,41.00745
52.24219,18.08532,41.021
50.74192,17.47832,40.818
49.5243,17.19648,40.2248
48.23606,16.98619,39.36852
47.05144,16.87334,38.13926
45.9033,16.66753,37.02652
44.80546,16.57217,36.01756
43.8345,16.41707,35.36645
42.99827,16.41909,35.13649
41.84529,16.57176,35.17274
41.15577,16.61436,35.44567
40.62458,16.64858,36.07764
40.24195,16.84393,36.76037
40.09595,16.78366,37.55354
40.08971,16.81132,38.47638
40.16565,16.74095,39.91231
40.27295,16.60782,41.68187
40.27584,16.45703,44.59318
40.3533,16.59782,49.13362
39.90576,16.90905,55.69786
39.52253,17.25703,64.86414
39.328,17.83634,76.76915
38.97767,18.43744,91.08562
38.9377,18.94327,106.5156
38.84604,19.36704,121.7692
38.8927,19.58771,135.1122
39.03972,19.63277,144.8575
39.08849,19.57456,150.6582
39.39025,19.50064,152.6927
39.43625,19.39523,151.5181
39.56673,19.24554,148.7949
39.79207,19.2166,146.0956
40.00423,19.25399,144.4061
40.51925,19.34565,143.8535
40.74812,19.24493,144.5803
41.04582,19.21227,145.4247
41.44083,19.1109,145.8388
41.66561,18.8723,145.0256
41.9361,18.57771,142.4574
