EL1: Electronic Ladder,A1: 4WkFrozen,B1: 8WkFrozen,C1: 12WkFrozen,D1: 16WkFrozen,E1: 20WkFrozen,F1: 24WkFrozen,G1: 28WkFrozen,H1: 32WkFrozen,A2: 36WkFrozen,B2: 40WkFrozen,C2: 44WkFrozen,D2: 48WkFrozen,E2: 52WkFrozen
0.3347888,0.3306479,0,0.3811836,0.001103878,0.5104842,0.2650771,0,0.2897987,0.1188941,0.1362276,0.1322513,0.1853189,0.4920368
0.1531692,0.3362198,0,0.4271903,0.1284561,0.4512753,0.2366657,0.002473354,0.2784252,0.2715044,0.1850686,0.1556001,0.1055136,0.4484148
0.07856035,0.3197436,0,0.3933935,0.05775833,0.4806838,0.1466098,0.1195269,0.2803931,0.2888923,0.2771025,0.2421284,0.1522493,0.3109837
0.02700949,0.199183,0,0.422121,0.0943718,0.3581195,0.1373978,0.2219591,0.2736602,0.3572621,0.2132101,0.2646751,0.2348771,0.1358352
0,0.1288776,0.0454483,0.3751302,0.04912901,0.1876636,0.01008272,0.3390737,0.1321206,0.2810545,0.131289,0.2717462,0.2198753,0
0,0.07468796,0.1219053,0.2844419,0.03091955,0.02504635,0,0.3156686,0.08182096,0.2903237,0.137526,0.2128053,0.2343426,0
0,0.01870394,0.2274532,0.1730204,0,0,0.06964922,0.2456079,0.1047564,0.1588454,0.1004658,0.2004666,0.3243513,0.02103519
0,0,0.2719488,0.09477377,0,0,0.0513711,0.1751924,0.05605412,0.02944088,0.05745125,0.1427083,0.3069758,0
0.04109764,0.08060741,0.2072868,0,0,0.03510857,0.04976177,0.1584892,0.07269049,0,0.05103683,0.09941816,0.3204718,0
0,0.1588998,0.1538987,0.0229826,0.01939392,0.05043983,0,0.1199598,0.1273518,0,0.09548283,0.1318607,0.3153062,0
0.02638292,0.2317796,0.09832716,0.01598978,0.09308243,0.1308675,0,0.0949192,0.1359067,0.06839895,0.08850718,0.1115685,0.2479005,0.0005450249
0.06229401,0.2276225,0,0,0.186686,0.2406926,0,0.09192419,0.08914375,0.2464395,0.07962608,0.07882357,0.1409926,0.05500269
0.04121494,0.2193732,0,0,0.1739836,0.3386636,0,0.1259389,0.1384315,0.3072844,0.06784821,0.1887674,0.1640143,0.165659
0,0.1972356,0,0,0.2247505,0.4060125,0.05726004,0.134778,0.1665239,0.4366527,0.0937748,0.2900753,0.02792406,0.2247291
0,0.2080059,0,0,0.23072,0.4026184,0.03817511,0.196835,0.1568079,0.5321908,0.09233189,0.3496265,0,0.2089205
0,0.2415552,0,0.01061153,0.1830077,0.4206915,0.01818037,0.2430797,0.1917996,0.5978446,0.1905775,0.3652034,0.02874231,0.1672096
0,0.2754521,0.1258712,0.03590298,0.1169567,0.4067726,0.003661156,0.2615075,0.19134,0.6044898,0.2818928,0.3462815,0.1528296,0.1465974
0,0.2509651,0.284502,0.150125,0.1046882,0.3701096,0,0.347487,0.2019978,0.5849581,0.2149696,0.3087263,0.229537,0.1071744
0,0.2124219,0.2200871,0.1500578,0.04618788,0.3143792,0.01157761,0.3457289,0.2797012,0.529541,0.1899681,0.3353562,0.2547512,0.1071467
0,0.09946346,0.1944122,0.2329588,0,0.2653465,0.0382967,0.3546076,0.3639383,0.4149137,0.2100644,0.253098,0.2343349,0.1930165
0,0.07122803,0.1292295,0.1849637,0,0.2443142,0.05050278,0.3076658,0.3258581,0.3550496,0.08028078,0.1973453,0.1633487,0.1897464
0,0,0.02336788,0.1848416,0.003406048,0.2440782,0.06475925,0.265449,0.2569728,0.2425656,0.0684371,0.159153,0.06617594,0.1905642
0,0,0.03400373,0.145793,0,0.159162,0.1073155,0.1975188,0.2094865,0.1821012,0.0995245,0.1788769,0.08054829,0.2639728
0,0.0215435,0,0.1084013,0.008236408,0.1634221,0.1486902,0.1967621,0.1443877,0.1038675,0.1840396,0.218874,0,0.2644587
0.3040228,0.05132389,0.0002713203,0.07023048,0.1119885,0.1301379,0.131906,0.2730479,0.1816649,0,0.179739,0.1888766,0,0.2608366
1.405515,0.06526279,0,0.02228928,0.02674675,0.2200041,0.07013893,0.3786135,0.1790719,0.009498119,0.2223306,0.1624269,0.09277725,0.1755695
2.834507,0.08672237,0,0.0726285,0.01656246,0.205327,0.08780956,0.4578323,0.1859751,0,0.2617493,0.1836133,0.1427064,0.1988406
4.043449,0.08978653,0.0765028,0.1006198,0,0.2597642,0.1353641,0.5758877,0.2414036,0,0.1533847,0.234272,0.2564192,0.1798744
5.409372,0.0714407,0.07679749,0.02760124,0,0.2396879,0.1764774,0.6029634,0.3443618,0,0.08759212,0.2380972,0.2999721,0.2239213
7.060751,0.1035142,0.1747761,0.04028988,0,0.2049651,0.1902418,0.6609468,0.4617419,0,0.05829287,0.2303133,0.3242097,0.2383366
9.01142,0.174006,0.2344646,0,0.01082134,0.18472,0.1364875,0.6035867,0.4594855,0,0,0.2511358,0.2377191,0.1802506
