EL1: Electronic Ladder,A1: 4WkFrozen_F_2,B1: 4WkFrozen_F_3,C1: 8WkFrozen_F_2,D1: 8WkFrozen_F_3,E1: 12WkFrozen_F_2,F1: 12WkFrozen_F_3,G1: 16WkFrozen_F_2,H1: 16WkFrozen_F_3,A2: 20WkFrozen_F_2,B2: 20WkFrozen_F_3,C2: 24WkFrozen_F_2,D2: 24WkFrozen_F_3,E2: 28WkFrozen_F_2,F2: 28WkFrozen_F_3,G2: 20WkDry_F_2
0.2114682,0.1643481,0.1867557,0.02371359,0.1003904,0.1096482,0.2225924,0.1132512,0.04735708,0,0.312007,0,0.1299529,0,0.1223679,0.2290013
0.3254375,0.09158278,0.2232161,0.01081514,0,0.1566615,0.1571403,0.09870911,0.09874916,0,0.2629662,0.01910353,0.07877731,0.09376335,0.1278167,0.1665413
0.3272204,0.0435729,0.1559572,0.1107073,0,0.2155414,0.06477118,0.0160532,0.1634703,0,0.1017256,0.1094565,0.01088428,0.2797241,0.08321667,0.1052086
0.3582625,0.01700735,0.1704967,0.1936746,0,0.2088418,0.09469986,0,0.259346,0.1097946,0,0.1723714,0,0.3531399,0.1649723,0.1360309
0.6224704,0.01400924,0.2494166,0.3188,0.02407694,0.1816621,0.1894794,0,0.3046665,0.1878605,0,0.2074175,0,0.4131942,0.1328292,0.176281
0.6738214,0.06100702,0.2461343,0.2900362,0,0.2545171,0.2482085,0,0.2960339,0.3786659,0.01059103,0.254261,0,0.4110274,0.2675252,0.1833012
0.6119556,0.1371429,0.3137245,0.2927742,0,0.2630444,0.2628169,0,0.2922192,0.4970365,0.03272438,0.2440205,0,0.277998,0.2356715,0.3374579
0.3347888,0.2052271,0.4084845,0.165441,0,0.1965899,0.2509956,0,0.1035404,0.5370326,0.1185489,0.1870942,0.04257727,0.1199603,0.2060876,0.4073775
0.1531692,0.3805783,0.4520054,0.09105539,0.01624489,0.1716862,0.2512574,0.01641178,0.1524405,0.5018649,0.1556849,0.08755589,0.02960491,0.06035042,0.2601013,0.4176724
0.07856035,0.4501946,0.4029558,0,0.0578742,0.1331072,0.2658777,0.1187057,0.1400752,0.3923216,0.2085176,0.06371403,0.09750319,0,0.1441855,0.3807509
0.02700949,0.3838713,0.4280713,0.02063036,0.05752087,0.1415067,0.2381802,0.2493858,0.1968389,0.3720765,0.2868795,0.1488385,0.05323315,0.02483463,0.07516289,0.3022933
0,0.3765233,0.333102,0,0.04173326,0.161983,0.1555762,0.3135061,0.245873,0.3592529,0.2709303,0.01663303,0.1369114,0.1354403,0.03292465,0.1948376
0,0.3639281,0.2465682,0,0.08207178,0.173039,0,0.4896894,0.2524734,0.3695436,0.2347732,0.002876282,0.1896763,0.1813879,0,0.08641076
0,0.349159,0.2478952,0.1115818,0.08385849,0.1437593,0,0.5661898,0.3315125,0.3950949,0.258101,0.04307985,0.19417,0.2253933,0,0.1533959
0,0.3050845,0.2482579,0.3431187,0.07467127,0.1129985,0.01670837,0.479928,0.3351808,0.3630686,0.2654786,0.1862841,0.2207432,0.222445,0,0.09266472
0.04109764,0.2713606,0.2576094,0.4484944,0.07050657,0.08441687,0,0.4367981,0.2339611,0.3514614,0.307127,0.1385407,0.2122726,0.1336117,0.02137423,0
