EL1: Electronic Ladder,A1: 52Wk
44.80546,20.9009
43.8345,20.9781
42.99827,21.01597
41.84529,21.0506
41.15577,20.87722
40.62458,20.67319
40.24195,20.59711
40.09595,20.41631
40.08971,20.31991
40.16565,20.01866
40.27295,19.89344
40.27584,19.93576
40.3533,19.8964
39.90576,19.963
39.52253,19.96477
39.328,19.93953
38.97767,20.10546
38.9377,20.04648
38.84604,20.03406
38.8927,19.77922
39.03972,19.57855
39.08849,19.59873
39.39025,19.545
39.43625,19.54767
39.56673,19.54812
39.79207,19.47194
40.00423,19.62318
40.51925,19.62056
40.74812,19.64976
41.04582,19.61462
41.44083,19.49653
41.66561,19.54272
41.9361,19.50187
42.04552,19.30671
42.30717,19.21519
42.51877,18.95754
43.29195,18.81145
44.16927,18.77383
44.80107,18.82804
45.88068,18.85991
47.22343,18.78219
48.34975,18.85078
49.37782,18.90471
50.39648,18.85715
51.83561,18.73078
52.99356,18.59945
54.57263,18.51209
56.20294,18.55857
58.65975,18.60945
61.24603,18.65913
64.48589,18.62272
69.39481,18.66603
75.40455,18.68092
82.90659,18.60002
92.90875,18.49747
105.8389,18.43719
124.8385,18.39904
152.2131,18.39661
188.503,18.24788
233.4973,18.1896
286.0728,18.1118
339.0046,18.0996
386.9084,18.08088
424.165,18.11247
445.8756,18.19286
450.1462,18.16805
438.2472,18.21491
412.7982,18.17869
377.4191,18.00658
337.5124,17.97225
295.9637,17.93632
253.5426,17.96607
215.4013,17.80184
181.458,17.85275
152.4125,17.85502
128.6558,17.92868
109.6806,17.96257
94.68867,17.97556
83.35398,17.92734
74.50935,17.83819
67.80062,17.77008
62.52628,17.62985
59.22767,17.37217
56.75893,17.20425
55.00687,17.09586
53.52545,17.14635
52.47616,17.1814
51.44522,17.20688
50.72421,17.24455
49.92419,17.28715
49.17576,17.40918
48.30043,17.4259
48.00196,17.33672
47.61724,17.15838
47.07895,17.02365
46.92889,16.89156
46.89749,16.67913
46.92075,16.6685
47.17645,16.76864
47.48476,16.77799
47.87957,16.87034
48.47378,16.97435
49.55062,16.90141
50.41106,16.93886
51.42236,16.86786
52.67937,16.94988
53.67337,17.00966
54.70521,17.28477
55.93967,17.34962
57.09141,17.34199
58.44881,17.37333
60.30965,17.38867
62.52384,17.23561
64.87007,17.21966
67.41753,17.2439
69.9974,17.29979
72.6283,17.26412
74.83287,17.25707
76.90598,17.19079
78.17733,17.22149
79.09708,17.32661
79.85885,17.44685
80.00867,17.54876
80.23985,17.67546
79.97934,17.77896
80.12814,17.79152
80.21479,17.9486
80.91386,18.00458
81.86594,18.11564
83.06207,18.24293
85.35784,18.45889
88.39478,18.69215
92.76147,18.92195
100.2734,19.08725
111.2732,19.22926
129.5123,19.42066
159.4942,19.6716
202.4525,19.85434
258.2606,20.11259
319.0791,20.47909
380.6234,20.85515
434.3946,21.25027
474.1948,21.53352
496.6637,21.84256
499.2065,22.121
485.083,22.45063
460.3896,22.78656
427.2648,23.1811
391.7967,23.62356
351.8622,24.17816
313.5379,24.72965
275.9799,25.10233
241.4358,25.4077
210.9331,25.59725
184.3872,25.91163
161.9705,26.2136
143.8161,26.50886
128.2083,26.64719
116.2876,26.95382
106.7961,27.16668
100.4204,27.3502
95.38192,27.30017
93.35226,27.25477
92.64267,27.06876
94.22371,26.86121
96.90433,26.48801
102.3827,26.03331
110.2861,25.68614
122.4735,25.52216
141.3798,25.09234
170.7986,24.71934
210.9362,24.15611
259.3776,23.62338
308.4174,23.0277
355.5263,22.34036
393.5872,21.63849
419.0917,21.04894
428.2565,20.64557
422.171,20.25438
403.9083,19.85618
378.5743,19.45415
349.6916,18.97503
318.0304,18.62627
283.594,18.19019
251.2514,17.8038
219.5008,17.31668
189.4948,16.85847
161.8502,16.37214
137.637,15.82885
116.0849,15.42084
97.27939,14.93326
82.55047,14.58509
70.45276,14.39067
60.37433,14.08717
52.84796,13.78753
46.54646,13.52226
41.43076,13.31979
37.51205,13.1444
34.6571,12.87371
32.13435,12.7022
30.0269,12.41004
28.46075,12.20807
26.90372,12.13936
25.56643,11.93648
24.37341,11.65663
23.58046,11.47261
22.75212,11.36385
22.14318,11.32168
21.61739,11.0778
20.96795,10.95582
20.34533,10.79186
19.55369,10.73386
18.72646,10.70258
18.06227,10.6143
17.34932,10.46874
16.862,10.4096
16.39036,10.35325
15.86924,10.24283
15.43531,9.960903
15.2607,9.934011
15.06444,9.759018
14.83599,9.707136
14.61701,9.656044
14.32147,9.578079
13.9205,9.485874
13.43469,9.424585
13.04265,9.236465
12.63771,9.157782
12.33934,9.146013
12.20116,8.990747
11.92788,8.813177
11.69658,8.828154
11.36579,8.756151
10.9402,8.711353
10.75631,8.634235
10.48614,8.578991
10.28107,8.466084
10.23685,8.549911
10.16339,8.583467
9.926272,8.363026
9.68505,8.263624
9.49529,8.273582
9.363746,8.202524
9.389474,8.165182
9.438195,8.052675
9.400531,8.101353
9.311664,7.983763
9.360101,8.004547
9.367885,7.950016
9.111299,7.901934
8.719924,7.911234
8.522365,7.94714
8.265935,7.894018
8.196654,7.831007
8.012654,7.789314
7.826961,7.815662
7.440206,7.673378
7.225717,7.613228
7.17373,7.518007
6.929011,7.62126
6.670002,7.67968
6.534923,7.669636
6.438015,7.596994
6.533257,7.544441
6.545789,7.459927
6.555316,7.391592
6.438367,7.323454
6.381869,7.233965
6.320765,7.144894
6.14119,7.163862
5.945993,7.125668
5.762953,7.074293
5.588173,7.068008
5.522785,7.041405
5.494606,7.018496
5.46798,7.118109
5.308587,7.165615
5.249495,7.187216
5.238706,7.012449
5.190334,6.914473
5.051305,6.845951
4.876223,6.826317
4.631876,6.791744
4.561522,6.707529
4.465994,6.64926
4.224935,6.647661
4.138312,6.595568
4.119016,6.540686
4.15511,6.395645
4.014673,6.410744
3.865959,6.489531
3.694413,6.639154
3.649324,6.70908
3.608536,6.65864
3.568916,6.612469
3.633841,6.528616
3.723514,6.491596
3.584785,6.460533
3.514358,6.450722
3.163714,6.46295
2.882694,6.468184
2.646958,6.452353
2.617253,6.568373
2.573172,6.487741
2.59084,6.521053
2.863736,6.460768
3.039529,6.402365
3.121466,6.292719
3.130886,6.155603
3.064619,6.034306
2.924486,5.98328
2.7396,5.897699
2.625036,5.920214
2.475174,5.822695
2.33345,5.874392
2.187563,5.840092
2.065569,5.797945
1.999933,5.656284
2.030875,5.642445
1.963203,5.62389
1.873152,5.64386
1.838674,5.55608
1.825872,5.558617
1.817186,5.5805
1.836123,5.573174
1.793012,5.537069
1.7825,5.533262
1.9249,5.556211
1.99916,5.646944
1.891687,5.496531
1.915131,5.301405
1.946418,5.124952
1.912895,5.1003
1.767415,4.986921
1.615232,4.815575
1.468264,4.646488
1.344907,4.568384
1.179396,4.657413
0.9495754,4.643137
0.7550297,4.495243
0.6816721,4.303341
0.6357079,4.189888
0.4503126,4.320845
0.3876772,4.34149
0.4675207,4.449226
0.4860306,4.445408
0.439743,4.371651
0.3697405,4.415895
0.323391,4.299736
0.3896036,4.202026
0.5059566,3.969942
0.4813251,3.894258
0.4162445,3.973785
0.5166035,4.065054
0.5475368,4.174376
0.434536,4.123129
0.3445463,4.037149
0.2284632,3.981661
0.1239691,3.699635
0.05033875,3.531883
0,3.351704
0.02062321,3.285053
0,3.215855
0.06807852,3.19949
0.017869,3.115479
0.06506681,3.115221
0.05646276,3.168634
0,3.201212
0,3.077415
0,3.078249
0.09297991,3.112162
0.08575058,3.084904
0.09558344,3.003956
0.292304,2.811644
0.261899,2.620483
