EL1: Electronic Ladder,A1: 60WkDry_F_2,B1: 60WkDry_F_3,C1: 72WkDry_F_2,D1: 72WkDry_F_3,E1: 60WkFrozen_F_2,F1: 60WkFrozen_F_3,G1: 72WkFrozen_F_2,H1: 72WkFrozen_F_3,A2: 24WkDry_F_3,B2: 36WkDry_F_3
1.405515,0,0,0.002428055,0.1964641,0.09134245,0.1584551,0.1970191,0,0.197423,0.1675353
2.834507,0,0,0,0.2084665,0.1408238,0.172416,0.1889277,0,0.3174191,0.143517
4.043449,0,0.02737761,0,0.1783779,0.1169651,0.1563966,0.2498846,0.02835846,0.2892118,0.1272006
5.409372,0.03350639,0.02063322,0.06993461,0.00549078,0.08958483,0.160723,0.2923002,0.07260275,0.2818432,0.21385
7.060751,0.07039881,0.09387255,0.07988572,0,0.03925991,0.1684406,0.3628101,0.1457171,0.2803469,0.2591481
9.01142,0.05429125,0.134439,0.1649218,0.01472068,0.08895707,0.1074402,0.4269562,0.1810923,0.294178,0.3270698
11.38547,0,0.1544385,0.1319525,0.09470391,0.08347702,0.06451678,0.556808,0.3115644,0.2417231,0.3182797
14.12005,0.009479046,0.1957297,0.08786583,0.1798589,0.05157423,0.07284999,0.5218887,0.3636589,0.1149344,0.3707552
17.26014,0.02764606,0.164094,0,0.2112281,0.09521341,0,0.4915161,0.4062438,0.07318497,0.3630142
20.97051,0,0.1458116,0,0.2701101,0.05117702,0,0.4438906,0.3824692,0.03890133,0.266912
25.3254,0,0.09125376,0,0.283124,0.02076983,0,0.3589945,0.3357964,0.130023,0.2075019
30.42628,0,0,0.09390259,0.2576971,0,0.06524801,0.2824879,0.3133564,0.2164698,0.137588
36.0128,0,0,0.06730819,0.2042272,0.02458453,0.02738047,0.1721931,0.2585077,0.1918693,0.1403809
42.3921,0,0,0.08359051,0.1393933,0.0814836,0,0.02584076,0.2293324,0.2666421,0.08390951
49.75721,0,0.01463985,0.1151433,0.1633554,0.1500804,0.07512093,0,0.2013674,0.3027372,0.03529501
58.11675,0,0,0.213419,0.2047365,0.275985,0.06820488,0,0.08480883,0.3770232,0.03962517
67.09781,0,0,0.131907,0.2429717,0.2957194,0.08597088,0.1102161,0.1099081,0.3565211,0.03309011
76.59318,0,0,0.0723722,0.1934147,0.3337119,0.08268833,0.1344509,0.1686707,0.3125639,0.02454233
86.53235,0,0,0,0.1771035,0.3577306,0.07285404,0.108439,0.213377,0.2022967,0.1510611
96.71154,0,0.03960562,0.01742244,0.07865548,0.2695396,0.1254163,0.1066475,0.2154002,0.2436762,0.24333
107.3292,0,0.07688236,0.112679,0.08138347,0.1591008,0.1517453,0.162499,0.2591586,0.2528758,0.212018
118.0085,0,0.09703588,0.2092526,0.09952092,0.05852413,0.1529951,0.1841345,0.2793427,0.136075,0.1876488
128.5506,0,0.1460972,0.2574518,0.08325505,0.003244638,0.03371572,0.11869,0.3344755,0.08221817,0.1918101
138.9781,0,0.1080956,0.3103099,0.08259368,0,0,0.01114559,0.3969622,0.02834272,0.09786892
148.6813,0,0.04977274,0.2919159,0.147227,0,0.1096354,0,0.3540339,0.05136585,0.1028519
158.0438,0,0.05603886,0.229449,0.1575987,0.02205324,0.09087753,0.07035208,0.3264689,0.1729426,0.1098704
165.8421,0,0,0.1641889,0.09759784,0.08733702,0.08328772,0.1254716,0.3568625,0.2325315,0.1775517
172.4071,0,0,0.1107032,0.06650257,0.1304569,0.07357454,0.1551981,0.3845768,0.2653737,0.2052169
177.1938,0,0,0.02003002,0.04222536,0.1636219,0.06339359,0.1413541,0.3988132,0.2901893,0.3387651
180.721,0,0,0.04316258,0,0.1260171,0.04397297,0.09082127,0.3957181,0.3502822,0.3651896
182.7976,0,0,0.08126378,0.001233101,0.1272106,0.1081386,0.1219726,0.37573,0.3003306,0.380578
184.0034,0,0,0.1140912,0.05600333,0.1625915,0.04852104,0.06089306,0.2901993,0.2019815,0.3547893
183.7612,0,0,0.2035122,0,0.1414003,0.02487373,0.04302406,0.2282357,0.1146708,0.3037381
182.0963,0,0,0.1973481,0,0.1016297,0,0.0399456,0.120801,0,0.2477345
179.2551,0,0,0.1921661,0.00851965,0.0842824,0,0.07700443,0.0379982,0,0.1797891
175.4089,0,0,0.118434,0,0.06630993,0.03664875,0.1879888,0,0,0.08039665
169.8648,0,0,0.05581665,0,0.07241869,0.0464921,0.1434312,0,0,0.01944828
163.6694,0,0,0.06145144,0.03613973,0.01434755,0,0.190124,0.06449747,0.03593111,0
156.3133,0,0,0,0,0.05097556,0,0.161581,0.1446786,0.09795237,0
148.2467,0.4398499,0,0.002460003,0,0.0583899,0,0.1274796,0.1660776,0.1390004,0.0236783
139.6879,1.308666,0,0,0,0.09619856,0.004300117,0.04555368,0.1859384,0.1968179,0.1438813
131.4263,2.247519,0,0,0,0.133563,0.07984209,0,0.1604943,0.2106004,0.1530652
122.399,3.350464,0,0.01773763,0,0.08188057,0.09746218,0,0.1710615,0.2062726,0.2388921
113.4277,4.620749,0,0,0,0,0.06007481,0,0.09593153,0.1624155,0.2925711
104.7552,5.886878,0,0.03898811,0,0.05258775,0.09334993,0,0.08632183,0.117907,0.2306933
96.02428,7.345561,0,0.06800485,0,0.02291298,0.1370168,0.01603842,0,0.09028912,0.2358422
87.56607,9.022632,1.120279,0,0,0,0.02923727,0,0.05799294,0,0.2665577
79.93262,10.80186,2.482149,0.04089332,0,0,0.01165724,0,0.01160383,0,0.2955813
72.51277,12.79486,3.966066,0.02169347,0,0,0,0,0,0,0.2368793
65.42696,14.96009,5.559685,0.02462077,0,0.08659172,0,0.06349325,0,0,0.1505327
58.7887,17.08565,7.233236,0,0,0.1456423,0,0.05351639,0,0,0.07926416
53.03083,19.34247,8.982496,0,0,0.2250714,0.00549221,0.131865,0,0,0.07611132
47.41869,21.80487,10.82019,0,0,0.2183309,0.02425957,0.07171535,0.03200054,0,0.07080889
42.51573,24.42593,12.90612,0,0,0.1715655,0,0,0.1122231,0.03662968,0
38.00323,27.05871,15.13058,0,0,0.1451054,0,0,0.2096763,0.01295948,0
34.11943,29.93532,17.55897,0,0,0.07295132,0,0,0.2139511,0.05114412,0.04812765
30.83343,32.9326,20.17253,0,0,0.04237652,0,0.02138853,0.2674832,0,0.1096907
28.08009,36.09792,22.88286,0.06175089,0,0.07627821,0.004954338,0,0.1345654,0,0.0900321
25.57552,39.53585,25.82648,0.03656006,0,0,0.07634497,0,0.1344557,0.06835413,0.02107811
23.51604,43.18315,28.95096,0.07398272,0,0,0.09599638,0,0.08167028,0.05503988,0.04073858
21.80286,46.85357,32.24726,0,0,0.04712915,0.1597977,0.05521393,0.05663824,0.03287601,0.08763218
20.47512,50.70975,35.6139,0,0,0.04581785,0.1423059,0.09869862,0.08622503,0.01690578,0.1402264
19.14278,55.01109,39.26138,0,0,0,0.09871292,0.06533813,0,0,0.101758
18.04222,59.44091,43.12489,0,0,0,0,0.08246183,0.00434494,0,0.1411924
16.84309,64.22789,47.39367,0,0,0,0,0.1717253,0.01108265,0.04255962,0.1748619
16.03548,69.56607,51.89821,0,1.695636,0,0,0.1878486,0,0.1151638,0.113585
15.28468,75.23809,56.8053,0,3.994338,0.003130436,0,0.122921,0.01924562,0.1881285,0.1727157
14.43121,81.40295,62.13774,0,6.655276,0.01402426,0,0.03548241,0,0.2390676,0.106401
13.87171,88.1373,67.8598,0,9.821183,0,0,0,0,0.257081,0.1450343
13.48894,95.28557,73.86289,0,13.45139,0,0,0,0,0.1789389,0.2231445
13.46001,102.7394,80.36054,0,17.55193,0.06666327,0.005958557,0,0,0.1562076,0.1975369
13.14586,110.9326,87.42156,0,22.39697,0.02967405,0,0,0.000164032,0.05549765,0.1257057
12.79887,119.6866,94.92486,0,27.82715,0,0,0,0.05230141,0.005512714,0.1123948
12.60898,129.1022,103.1686,0,33.83361,0,0,0,0.1082454,0,0.1324773
12.22836,138.9146,112.1415,0,40.23429,0,0,0,0.09012651,0.001761913,0.04005957
11.97549,149.7597,121.8214,0,47.27403,0,0,0,0.04650593,0,0
11.68075,161.3176,132.5068,0,54.75072,0,0,0,0.07555342,0,0.01732779
11.16488,174.054,143.9207,0,62.28358,0,0,0,0.02949762,0.001083851,0.03323126
10.84782,187.3732,156.2173,0,69.87682,0,0,0,0.0370388,0.05205965,0.06065655
10.45394,201.5627,168.917,0,77.29206,0,0,0.008395672,0,0.04650974,0.06522512
10.1925,216.4422,182.6449,0,84.34148,0,0,0,0,0.1080718,0.01138878
9.845958,231.818,197.0478,0,90.92881,0,0,0,0,0.08594751,0.0801487
9.430903,247.4902,211.3525,0,96.62604,0,0,0,0,0.1214194,0.1443076
9.227633,263.0728,225.927,0,101.1079,0,0,0,0.01452208,0.1017513,0.1240125
8.951421,278.1429,240.132,0,104.0316,0,0,0,0.02604818,0,0.1968951
8.649407,292.5714,253.9319,0,105.7202,0,0,0,0,0,0.2146482
8.43328,305.2969,266.6171,0,105.8512,0,0,0,0,0,0.3331084
8.136649,315.9156,277.4203,0,104.3856,0,0,0,0.006062984,0,0.2811747
7.748421,323.4709,285.8532,0.4626122,101.4848,0,0,0,0.07344341,0,0.2366605
7.452363,328.5496,291.3102,2.053797,97.22815,0,0,0,0.0281558,0.02073574,0.2444429
7.086936,329.7863,293.9584,3.804976,91.8783,0,0,0,0.02480507,0.06548548,0.1818495
6.854991,327.0226,293.0851,5.768929,85.8584,0,0,0,0,0.09653473,0.201395
6.527324,320.724,288.2531,8.015099,79.42195,0,0,0,0,0.0680275,0.1222239
6.17592,310.4116,280.1665,10.47087,72.72988,0,1.22999,0,0,0.04891729,0.1129465
5.929846,296.8689,269.1943,13.11191,66.107,0,4.448275,0,0,0,0.1471686
5.731161,280.4027,256.3376,15.98923,59.95752,0,8.48065,0,0,0,0.07854509
5.530811,262.015,241.9392,19.23627,54.11709,0,13.04115,0,0,0,0.1054587
5.314283,242.5527,226.2999,22.77317,49.05561,0,18.316,0,0,0,0
5.039759,223.3109,210.4163,26.54666,44.54553,0,24.68347,0,0,0,0
4.879637,205.3528,195.1719,30.87177,40.72258,0,32.09183,0,0,0,0
4.533747,188.9923,181.1017,35.78368,37.59683,0,40.79327,0,0,0.03480864,0.03065634
4.246821,174.8774,168.4102,41.12218,35.20712,0,50.92168,0,0,0.02462578,0.09979534
3.987095,163.2835,157.1531,47.13763,33.346,0,62.24383,2.344372,0,0,0.2264357
3.707324,153.9653,147.7415,53.83664,32.10624,0,74.73135,5.469898,0,0,0.339726
3.459528,146.66,139.9746,61.10221,31.18243,1.229942,88.77867,9.274158,0,0.005399227,0.3120394
3.27951,141.245,134.1071,69.1981,30.48836,4.166309,104.3475,14.03971,0,0.05434275,0.2381821
3.214552,137.6313,129.9273,78.60754,30.00156,7.37324,121.0361,19.90955,0,0,0.1618271
3.010284,135.131,126.55,88.97892,29.91165,11.1369,139.1689,27.19883,0,0,0.03868723
