EL1: Electronic Ladder,A1: 32WkDry_F_2,B1: 32WkDry_F_3,C1: 36WkDry_F_2,D1: 36WkDry_F_3,E1: 40WkDry_F_2,F1: 40WkDry_F_3,G1: 44WkDry_F_2,H1: 44WkDry_F_3,A2: 48WkDry_F_2,B2: 48WkDry_F_3,C2: 52WkDry_F_2,D2: 52WkDry_F_3,E2: 32WkFrozen_F_2,F2: 32WkFrozen_F_3,G2: water,H2: 36WkFrozen_F_3
0.4018135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.447835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4380507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3837314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4111743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4198155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2100549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1311512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1020811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002857685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08973789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1419425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0909667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1482263,0,0.007176399,0,0.002902031,0.09385967,0,0,0,0,0.004851818,0.01413536,0.01993561,0,0,0,0
0.2121367,0,0.08555984,0.04821873,0,0.192543,0.1273227,0,0.03490019,0,0.01949453,0,0.2148857,0.0082407,0,0,0
0.01945496,0,0.1388576,0.03757906,0.05393457,0.2407875,0.1878276,0.03841257,0,0,0,0,0.5318794,0.1269197,0,0,0.1299696
0,0,0.1888952,0.04182148,0.0488534,0.2758036,0.2023726,0.1253071,0,0,0,0,0.9398193,0.1976347,0,0,0.205863
0,0.04591537,0.1915004,0,0.07899332,0.2612848,0.1494761,0.1839738,0,0.06577969,0.01868582,0.02420092,1.38361,0.2069154,0.03190732,0.02130508,0.2053046
0,0.1251943,0.1545162,0,0.1378636,0.2791858,0.1193552,0.1447544,0,0.03811502,0.02476454,0.01089382,1.944962,0.2038078,0.03458166,0.004334927,0.2053051
0.08420372,0.08922553,0.09836197,0,0.08201122,0.218925,0.02877569,0.1213632,0,0.05849934,0,0.09820366,2.193169,0.3008542,0,0.02662325,0.1999946
0.03852177,0.05814743,0.1236334,0.04287958,0.03411102,0.1524868,0,0.1181636,0,0.09073734,0.02208233,0.2766628,2.562939,0.3756456,0.05240774,0.1660495,0.1671262
0.1143756,0.01212716,0.04627585,0.09325504,0,0,0,0.1057181,0.1229978,0.14359,0,0.4455023,3.032013,0.2865586,0.06606889,0.1449051,0.1249514
0.2220144,0.02818394,0.04021025,0,0,0,0,0.1203465,0.1803761,0.08548594,0.01771212,0.4755402,3.286407,0.3586693,0.03425169,0.1397381,0.07719994
0.4593344,0.06570268,0.01459908,0.04918814,0.004961014,0,0,0.1731477,0.1498322,0.06185675,0.0858798,0.4283152,3.69939,0.360198,0,0.09963417,0.1903114
0.3339543,0.06888843,0.05556202,0.1413512,0.02863836,0,0.04715586,0.2080626,0.2912755,0.001775742,0.1098666,0.3592753,4.128777,0.4363294,0,0.01685762,0.2700124
0.2182727,0.117451,0.006912708,0.1355524,0.1681972,0,0.05882454,0.2079864,0.2889352,0,0.07468414,0.258637,4.540417,0.4980092,0,0,0.3491063
0.2291179,0.1830506,0,0.1623611,0.1470442,0,0.00888586,0.2019935,0.2919402,0,0.1664505,0.1598744,4.980911,0.4748163,0.02897048,0,0.3250213
0.2393465,0.1459391,0,0.08259487,0.1883497,0.07626295,0,0.2030716,0.2711701,0,0.1535678,0.1174855,5.3988,0.4571114,0.05216551,0.02685833,0.3002958
0.2078538,0.1127732,0,0.08849049,0.2502589,0.2644973,0,0.1538582,0.2357326,0.03481245,0.132894,0.05577612,5.762482,0.4061308,0,0.03293276,0.2900634
0.1527991,0,0,0.008572578,0.2186656,0.3251629,0.004445076,0.1667781,0.3281913,0.09041691,0.1169696,0.1625381,5.980289,0.4716496,0.02898312,0.06378365,0.3119226
0,0,0,0,0.2924981,0.4025126,0.0004248619,0.1326284,0.3696775,0.1736217,0.04273272,0.1815219,6.383053,0.366879,0.07851911,0.06086063,0.2032309
0.02681494,0,0,0,0.235508,0.3473573,0.02715731,0.04429722,0.5086751,0.1557031,0,0.236228,6.77253,0.2577829,0.1023881,0,0.128119
0,0,0,0,0.3020759,0.2528067,0.0490694,0.02982998,0.5057569,0.1154656,0.03583717,0.2277241,7.033417,0.2609973,0.06053638,0.01206112,0.125442
0,0,0,0,0.2596679,0.1537828,0.1017094,0.1070852,0.4598141,0.08761501,0.02186441,0.1738582,7.526073,0.2818966,0.03948188,0.03958654,0.2033415
0,0.01792359,0.06262779,0.03420973,0.3484769,0.05677176,0.1338663,0.1356606,0.4652185,0.1276994,0,0.1775723,7.93206,0.2862582,0.06633878,0.07542086,0.2734756
0.004436493,0.08962202,0.1666727,0.05012846,0.3306222,0.116363,0.1088362,0.1497149,0.3516703,0.09809923,0,0.144053,8.415638,0.4023099,0.02302098,0.1548696,0.2306762
0.1063318,0.1394114,0.2284458,0.1190743,0.1972332,0.1210527,0,0.1722164,0.2800593,0.1099854,0,0.1280985,8.871265,0.3886518,0.0493753,0.1789961,0.1386213
0.03486204,0.1404471,0.3242719,0.2464476,0.108953,0.2433748,0,0.1642733,0.2316904,0.1284347,0,0.03099585,9.338959,0.462656,0,0.285491,0.05762386
0.07004738,0.1663616,0.3460116,0.4107108,0.06757021,0.2295017,0,0.1315708,0.2057457,0.1275845,0,0.03611374,9.737926,0.4787922,0,0.3538489,0.01890326
0.1939974,0.1993339,0.3539729,0.453208,0,0.2439303,0,0.1423483,0.2251134,0.1209631,0.005727768,0.04676008,10.16594,0.4858971,0,0.3786783,0.05721426
0.2114682,0.2289205,0.3184698,0.4434948,0,0.2372003,0,0.1938868,0.2452493,0.1282697,0.03616476,0.01206064,10.60526,0.4378214,0,0.268971,0
0.3254375,0.2156677,0.3110776,0.4036222,0,0.1547518,0,0.2212267,0.3238988,0.05066586,0.04043722,0.05277252,10.96727,0.427732,0.03237057,0.1661735,0.02692461
0.3272204,0.2212191,0.2529602,0.1838965,0.08321238,0.06446552,0,0.2939091,0.3280387,0.01830435,0.1023798,0.05268431,11.38755,0.3882856,0,0.2245975,0.001796722
0.3582625,0.1901295,0.1323309,0.10115,0.08205271,0.1318016,0.0161767,0.2903695,0.325634,0,0,0,11.93889,0.3384552,0,0.2367134,0.05519581
0.6224704,0.1788547,0.1095333,0.04239988,0.1912308,0.2430687,0,0.2182722,0.225934,0,0.005880833,0.04124737,12.35978,0.2811871,0,0.1893401,0.09053802
0.6738214,0.1543558,0.08078766,0,0.2378073,0.3180642,0,0.2168012,0.126987,0,0,0.08483696,12.75443,0.3465729,0,0.0817771,0.08112097
0.6119556,0.08967948,0.0382452,0,0.2357798,0.3835726,0,0.2052937,0.09940004,0.037673,0.05164623,0.2018738,13.01573,0.3092175,0,0.03864336,0.06284189
0.3347888,0.09191608,0.03948998,0.0420928,0.2551899,0.5234613,0,0.1308732,0.03608704,0,0.03467417,0.1074686,13.33796,0.3607855,0,0.1552134,0.09810114
0.1531692,0.02153707,0.06613255,0.109869,0.2165413,0.5272908,0,0.05006266,0.02620029,0,0.05335712,0.1046567,13.64061,0.2879176,0,0.1752596,0.1096401
0.07856035,0.04994559,0.01608133,0.1292052,0.1958523,0.6001387,0,0.08327961,0.01121902,0,0.008215904,0.1325436,13.86773,0.1370091,0,0.1855907,0.1495061
0.02700949,0.08650684,0.03651381,0.1898699,0.1109481,0.5651503,0,0.1285152,0,0,0.04110289,0.2135811,14.1326,0.06798935,0,0.1232381,0.1635642
0,0.07065749,0.03017592,0.2661619,0.01917124,0.4367461,0,0.1685357,0.01964569,0,0,0.2178931,14.42068,0,0.07803679,0.1728616,0.1669278
0,0.09014249,0,0.2692428,0.03268766,0.3651185,0,0.2616501,0.03630018,0,0.005364418,0.2204304,14.65025,0,0,0.2136536,0.1752419
0,0.02501583,0,0.2193708,0.0846076,0.4274812,0,0.2426133,0.1279278,0,0,0.1798325,15.04969,0,0,0.1681519,0.2196779
0,0.07773161,0,0.1868062,0.2260909,0.4179783,0,0.1677952,0.05025387,0,0,0.1910191,15.37441,0,0.01444769,0.04956675,0.1326571
0.04109764,0.1127658,0,0.1997886,0.333087,0.3909268,0,0.1459813,0.004683495,0,0,0.2456117,15.70896,0.1448412,0,0,0.1101937
0,0.1034231,0,0.1788158,0.3691478,0.3933868,0,0.08540869,0,0.03161955,0.01867723,0.2288399,15.85728,0.2088766,0.00241518,0.03867102,0.1629519
0.02638292,0.102391,0,0.1406026,0.4047122,0.2870703,0,0.08434868,0,0,0,0.08254147,16.13668,0.3143215,0,0.08693552,0.1098747
0.06229401,0.04979658,0,0.1204224,0.3155742,0.2778053,0,0.04666758,0.02613354,0,0,0.01415682,16.5648,0.3036838,0,0.0261631,0.08270931
0.04121494,0.1175327,0.01607847,0.1280665,0.4012733,0.2547345,0,0.06192303,0.01790333,0,0,0.0504117,16.93697,0.2318263,0.05381536,0,0.04983664
0,0.2029023,0.05888176,0.2178755,0.2972593,0.1648188,0,0,0.05170918,0,0,0.1352229,17.23751,0.1268029,0.3327956,0,0
0,0.1394398,0.001172781,0.3523278,0.2013168,0.02051163,0,0.03070974,0.0779047,0,0,0.1330581,17.51153,0.0124979,0.5999994,0.01928186,0
0,0.1164284,0.006145,0.4094596,0.1695037,0,0,0.1553693,0.1223693,0,0,0.18677,17.6849,0.03643084,1.051421,0,0.09394503
0,0.1062803,0,0.3660955,0.04789829,0,0,0.1721334,0.2014656,0,0,0.2633471,17.83543,0.070086,1.678551,0,0.08218479
0,0.166842,0.02488232,0.3035088,0.0377183,0,0,0.08205938,0.1804261,0,0.00442791,0.3643632,17.89692,0.06585884,2.596612,0,0.06644297
0,0.1828859,0.06538081,0.3075161,0,0.01509237,0.1405325,0.07599878,0.1496878,0,0.04588223,0.4363222,17.78141,0.02520418,3.985195,0,0.1308541
0,0.1788771,0.08326912,0.2619476,0,0,0.626276,0.04784298,0.1306167,0,0.03786564,0.4580145,17.54266,0,6.041448,0,0.2145114
0,0.1185453,0.01035833,0.2077236,0,0,1.271468,0.09730148,0.2536521,0,0,0.3315473,17.51634,0.06749916,8.946644,0.1057963,0.1635075
0,0.04122663,0.05285454,0.2019224,0,0,1.930631,0.07150269,0.2369547,0,0,0.2438154,17.72805,0.09413385,12.89146,0.1322737,0.2009435
0,0.05793238,0,0.3163619,0,0,2.602466,0,0.2513447,0,0,0.1473899,17.82289,0.08773994,18.13594,0.1579704,0.1844873
0,0,0.001998663,0.3672705,0,0,3.352926,0,0.2864299,0,0,0.1482348,17.93005,0.02456284,24.85774,0.1677122,0.137784
0.3040228,0,0,0.4327054,0.08653879,0,4.112382,0,0.2006621,0,0,0,17.88113,0.04229355,33.58219,0.1138763,0.08857393
1.405515,0.01216769,0,0.4018044,0.1076627,0,5.055533,0,0.2222085,0.498704,0.04735327,0,17.82309,0.14961,44.41196,0.02238369,0.06608438
2.834507,0.08094287,0,0.2757659,0.08333445,0.1573343,6.004746,0.07711744,0.1556873,1.186187,0.05090427,0.00124979,17.65208,0.2547321,57.78858,0.07002354,0
4.043449,0.03110266,0.07064915,0.09916735,0.1833982,0.1588035,6.987782,0.04631424,0.1076918,1.920526,0.08744001,0,17.41874,0.1798348,73.75143,0.1114016,0.03043222
5.409372,0.07303905,0,0.03547907,0.1168718,0.08343744,8.0458,0.1422491,0.01800442,2.714217,0.01535416,0.03682995,17.1607,0.1479769,92.5161,0.1664667,0.05586958
7.060751,0.1319072,0,0,0.1436849,0.04289675,9.223735,0.1206379,0,3.671722,0,0.09779072,16.91772,0.1513586,113.7434,0.2416596,0.002443314
9.01142,0.1814003,0,0,0.1229706,0.03448629,10.4774,0.06622124,0,4.84434,0,0.004806042,16.75052,0.1631222,137.4272,0.2663131,0
11.38547,0.2207949,0,0,0.1172819,0,11.75272,0.05902672,0,6.230837,0,0.01626825,16.70863,0.1972384,163.4753,0.2440186,0
14.12005,0.2508211,0,0,0.1574054,0,13.06382,0,0,7.882301,0,0,16.54683,0.1901937,190.9407,0.2295313,0
17.26014,0.1769531,0,0,0.135314,0.05787945,14.6012,0,0,9.584036,0,0,16.49099,0.1455321,219.7276,0.1840491,0.01753807
20.97051,0.1969359,0,0.0699501,0.05130434,0.04330683,16.04712,0,0,11.49294,0,0.08710861,16.31812,0.1227922,248.9209,0.09230471,0.07701969
25.3254,0.1663296,0,0.132144,0.02495241,0,17.46219,0,0,13.65864,0,0.1403761,16.19603,0.1403279,276.9751,0.02939415,0.1164231
30.42628,0.1025429,0,0.1989932,0,5.722046E-05,18.85043,0.05532503,0,15.94824,0,0.154212,16.06572,0.07349873,303.9139,0.03548193,0.05272675
36.0128,0.01077485,0,0.2385621,0.04391146,0,20.2826,0,0,18.51457,0,0.1795387,15.74973,0.0383482,327.8277,0.01140165,0.1172452
42.3921,0.004464865,0,0.2566409,0,0,21.94055,0.05773592,0,21.24847,0,0.2348728,15.45237,0.02129507,348.6569,0,0.1189208
49.75721,0,0,0.2783976,0.003166676,0,23.83073,0.003495693,0.06801939,24.41007,0,0.2611389,15.18494,0.004239559,364.2352,0.04060459,0.03184748
58.11675,0,0,0.2687693,0,0,25.81547,0,0.09095287,27.86234,0,0.1816225,14.92341,0.03414631,375.0154,0,0.0249095
67.09781,0,0,0.1911578,0.01411676,0.004344463,27.85655,0.07432461,0.1342406,31.75185,0,0.06576109,14.65213,0.09292603,380.6483,0.03759003,0
76.59318,0.02259612,0,0.08562851,0.001721859,0,29.98298,0.1131859,0.02442169,35.98811,0,0.03827429,14.2692,0.0447731,380.4789,0,0
86.53235,0.06233835,0,0,0,0.05936337,32.30396,0.1628079,0,40.65497,0.7485962,0,13.98104,0.03545666,375.5297,0,0.01352644
96.71154,0.04053879,0,0,0,0.004096508,34.57726,0.1849089,0.03699923,45.6897,2.010201,0,13.70506,0,365.1422,0,0
107.3292,0,0,0,0.03279972,0.01108551,36.86345,0.1905174,0.04552078,51.21168,3.443729,0,13.38874,0.03445911,350.219,0,0.01979208
118.0085,0,0,0,0.0482502,0,39.28213,0.1153741,0.1353254,57.46716,5.240349,0,13.04691,0,331.804,0,0.01100016
128.5506,0.002887726,0.1106195,0.07854891,0.05307007,0,41.8606,0.00433588,0.1786385,64.21627,7.461463,0,12.68859,0,310.0562,0,0.1046395
138.9781,0,1.664025,0.08887959,0,0,44.49292,0.04716444,0.229495,71.52225,10.31853,0.08321571,12.44725,0,286.4824,0.01865768,0.1549726
148.6813,0,3.614864,0.1154542,0,0,47.33345,0,0.234705,79.544,14.01179,0.149086,12.25745,0.02168417,260.9987,0.06331205,0.1051884
158.0438,0.02914286,5.793406,0.01792097,0.03101206,0,50.36493,0,0.2939477,88.17429,18.75928,0.1593399,12.01935,0.006592751,235.6397,0.05437231,0.05732059
165.8421,0.07727814,8.21982,0,0.06128454,0,53.51595,0,0.2994127,97.57726,24.63858,0.2225075,11.73534,0,210.4324,0.07659245,0.01132536
172.4071,0.1248612,11.16789,0,0,0,56.79082,0,0.1193795,107.5161,32.24294,0.2449598,11.35136,0,186.2268,0,0
177.1938,0.08370757,14.41671,0,0,0,60.37211,0,0.0487566,118.4005,41.51899,0.1380434,11.1087,0,164.0786,0.05164051,0.01014328
180.721,0,18.15669,0.002015591,0,0,64.20864,0,0,130.0381,52.57714,0,10.759,0,143.6943,0.1352053,0
182.7976,0,22.37394,0.03156805,0,0,68.27561,0,0,142.5033,65.62558,0.1215706,10.28063,0,125.8783,0.1421795,0.06354952
184.0034,0.06504536,27.00606,0.09864426,0,0,72.65627,0,0,155.9039,80.75455,0.1124897,9.843376,0,110.0145,0.1384473,0.136138
183.7612,0.05455041,31.98447,0.1658015,0,0,77.36736,0,0,170.1481,97.94478,0.1467943,9.475269,0,96.24466,0.1589031,0.149509
182.0963,0.06287742,37.22972,0.1616735,0,0,82.39242,0,0,185.2696,117.9937,0.1176023,9.0714,0,84.47825,0.08078194,0.1022468
179.2551,0.07936978,42.78873,0.1763721,0,0,87.75711,0,0,200.5231,140.6864,0.07793713,8.658062,0,74.54306,0.08998299,0.06058502
175.4089,0,48.25956,0.08407068,0,0,93.66397,0,0.1014013,216.3296,166.0787,0.140305,8.266247,0,66.15826,0.1275482,0
169.8648,0,53.78142,0.04684639,0.03437233,0,99.85964,0,0.08592367,232.8659,193.7646,0.1827698,7.839104,0,58.91146,0.1002336,0.004052162
163.6694,0,58.99913,0.08331442,0,0,106.4331,0,0,249.4239,224.088,0.147985,7.446507,0,52.92517,0.1074905,0
156.3133,0,63.58585,0.06013727,0,0,113.4874,0,0,265.8884,257.6667,0.07600403,7.106297,0,48.21282,0.08924198,0
148.2467,0,67.5415,0.0568943,0,0,121.2326,0,0,282.294,290.8022,0,6.718201,0,44.15673,0.09734583,0
139.6879,0,70.65722,0,0,0,129.3615,0,0,297.504,325.3956,0.06968451,6.233555,0,40.76661,0.08293676,0.1421676
131.4263,0.01381874,72.80415,0,0,0,137.9586,0,0,311.4946,361.1689,0,5.922115,0,37.88184,0,0.1466484
122.399,0,73.74489,0,0,0,146.8635,0,0,323.5867,395.2598,0,5.467449,0,35.40107,0,0.1095395
113.4277,0.01452827,73.48191,0,0,0,156.1428,0.08080482,0,333.6607,428.3091,0,5.00209,0,33.17557,0,0.01169729
104.7552,0.03328753,71.96817,0,0,0.01084995,165.7078,0.5433846,0,340.3889,461.1647,0,4.608311,0,31.16242,0,0.02383089
96.02428,0,69.37559,0.07650995,0,0.6303215,175.7324,1.021293,0,345.2264,490.6363,0.06093693,4.175877,0,29.37088,0,0.006887913
87.56607,0,65.79228,0.2185235,0.00304985,1.244578,186.1473,1.450595,0,347.7939,517.118,0.05784416,3.862282,0,27.79806,0,0
79.93262,0,61.27596,0.3146858,0.3355193,1.918968,195.7524,1.894798,0,347.3723,538.4282,0.04439163,3.626064,0,26.42177,0,0
72.51277,0,56.07039,0.2589021,0.6969585,2.642091,205.2018,2.362432,0,344.7432,553.7605,0,3.288712,0,25.10132,0,0
65.42696,0,50.44123,0.2508435,1.059221,3.541787,214.3069,2.883436,0,340.2491,559.4011,0.02008152,3.017826,0,23.85279,0,0
58.7887,0,44.73691,0.3154368,1.498731,4.285386,222.2722,3.530943,0,333.6738,559.9525,0,2.717205,0,22.68071,0,0
53.03083,0,39.09069,0.4184518,1.989511,5.075942,229.0368,4.291256,0,325.408,553.382,0,2.436253,0,21.66667,0,0
47.41869,0,33.57909,0.4735222,2.406839,5.97869,234.2262,5.162334,0,315.4304,538.2979,0,2.104607,0.6161585,20.56485,0,0
42.51573,0,28.58293,0.5729313,2.789135,7.007466,238.2127,6.099393,0,305.6404,518.0659,0,1.727955,1.64811,19.44158,0,0
38.00323,0,24.01998,0.704237,3.235855,8.087684,240.5426,7.158469,0,295.8289,495.4372,0,1.381348,2.692504,18.43251,0,0
34.11943,0,20.1154,0.9554343,3.712025,9.358363,241.4538,8.269494,0,286.2557,468.8013,0,0.934433,3.817214,17.43759,0,0
30.83343,0,16.83463,1.191632,4.258867,10.63732,241.4354,9.409587,0,277.3024,441.2976,0,0.668644,4.946647,16.44046,0,0
28.08009,0,14.13657,1.321986,4.862443,12.03129,238.9199,10.75499,0.4276533,269.3639,411.7594,0,0.4304657,6.333461,15.45812,0,0
25.57552,0,11.95092,1.551479,5.441385,13.57546,235.7095,12.1793,1.035053,262.7517,381.5687,0,0.08823395,7.572082,14.59151,0,0
23.51604,0,10.13161,1.801933,6.081769,15.12871,231.4372,13.65696,1.686417,257.3538,351.7092,0,0,8.828109,13.92354,0.00614357,0
21.80286,0,8.835213,2.053802,6.824479,16.74837,226.2542,15.2212,2.404538,253.5073,323.7684,0,0,10.20711,13.24746,0.5504646,0
20.47512,0,7.754942,2.312883,7.608246,18.44703,220.5183,16.95969,3.158026,249.3138,296.3353,0,0,11.66213,12.6435,1.142185,0
19.14278,0,6.962868,2.621691,8.421156,20.33065,214.6743,18.80627,4.033516,246.0094,270.9469,0,0,13.31561,12.10239,1.892412,0
18.04222,0,6.341255,2.926201,9.2901,22.33526,208.9772,20.74763,5.072485,243.5355,248.1516,0,0,15.04251,11.70263,2.730186,0
16.84309,0,5.875978,3.210052,10.164,24.37323,203.5296,22.78139,6.192157,241.6198,228.6563,0,0,16.82947,11.3823,3.577755,0
16.03548,0,5.521886,3.660185,11.13969,26.58642,198.8346,24.90545,7.551847,239.3559,211.729,0,0,18.59341,11.05962,4.460158,0.4184961
15.28468,0,5.247751,4.164734,12.18741,28.87351,195.2678,27.20773,9.03412,237.2381,197.8213,0,0,20.46117,10.76004,5.259712,0.9306946
14.43121,0,4.954396,4.766938,13.2542,31.36832,191.7735,29.8076,10.68787,235.7068,186.494,0,0,22.46101,10.44022,6.047228,1.428456
13.87171,0,4.698122,5.503171,14.27992,34.09438,189.047,32.5424,12.47838,234.2084,177.0305,0,0,24.38531,10.26827,7.060184,1.99888
13.48894,0,4.355654,6.359,15.32678,36.7548,186.9208,35.407,14.50487,232.9288,169.4688,0,0,26.40282,10.08081,8.056837,2.643448
13.46001,0,4.158292,7.231678,16.423,39.57248,185.3341,38.38266,16.83387,232.2553,163.1079,0,0,28.6118,9.823774,9.08794,3.349287
13.14586,0,3.892144,8.297199,17.56116,42.59875,184.1744,41.66289,19.51512,230.7679,157.9409,0,0,30.82171,9.452692,10.22561,4.195536
12.79887,0.8934669,3.664777,9.580688,18.80158,45.75716,183.371,45.05785,22.46307,229.9771,153.9478,0,0,33.22239,9.21727,11.49256,5.238251
12.60898,2.612513,3.375299,11.00856,20.06896,49.21933,182.9155,48.59728,25.82882,229.41,150.7373,0,0,35.81926,9.012678,12.90177,6.542953
12.22836,4.537447,3.115765,12.6562,21.3469,52.69877,182.5778,52.09531,29.45667,229.1596,148.0251,0,0,38.40561,8.832479,14.15611,7.944531
11.97549,6.583096,2.861269,14.45739,22.72523,56.30342,182.6501,55.82164,33.5949,229.0991,145.6662,0,0,41.06911,8.707773,15.51635,9.630789
11.68075,8.634291,2.552485,16.56698,24.00909,60.29146,183.0851,59.8452,38.03052,229.2289,143.7511,0,0,44.07775,8.535982,17.01836,11.55532
11.16488,11.0314,2.36007,18.8147,25.40619,64.42531,183.8608,64.15568,42.82883,229.6791,142.1685,0,0,47.21017,8.375399,18.57184,13.64297
10.84782,13.50685,2.209282,21.19121,26.70252,68.88425,184.8002,68.66049,47.99003,230.1772,140.5157,0.1569347,0,50.44946,8.248064,20.3117,15.98206
10.45394,16.13451,2.050387,23.83421,28.12335,73.24945,186.0505,73.42665,53.76786,230.8227,138.9999,1.613773,0,53.94741,8.185946,22.07677,18.70909
10.1925,18.94979,2.042198,26.72204,29.64846,77.95888,188.0464,78.43137,60.07803,231.9379,137.8956,3.045683,0,57.7991,8.043756,24.05313,21.72992
9.845958,21.89177,1.947499,30.00969,31.3038,82.88268,190.7992,83.88205,66.94907,233.5061,137.1844,4.475115,0,61.88947,7.83413,26.02807,25.06255
9.430903,24.9697,1.888171,33.69363,32.9914,88.12141,193.2675,89.46953,74.31384,234.6329,136.1678,5.98583,0,66.26945,7.855294,28.21699,28.86004
9.227633,28.26936,1.800934,37.74323,34.85418,93.85175,196.3528,95.39864,82.34727,236.4967,135.46,7.613657,0,70.98103,7.758419,30.48831,32.92732
8.951421,31.69276,1.655116,42.4224,36.69635,99.73074,199.707,101.5841,91.26885,238.6896,134.7435,9.113178,0,75.94923,7.688149,32.756,37.30313
8.649407,35.32275,1.527394,47.26999,38.59346,106.039,203.8452,108.3314,100.8626,241.0584,134.3036,10.64044,0,81.39115,7.631404,35.17896,42.09189
8.43328,39.10135,1.300476,52.71481,40.55069,112.8306,208.0341,115.4928,111.3254,243.976,134.0371,12.27734,0,87.27468,7.59428,37.74517,47.31428
8.136649,43.22575,1.118531,58.46301,42.55635,120.1514,213.2195,123.0317,122.4925,246.8437,134.1601,14.1424,0,93.39297,7.498198,40.47533,53.17542
7.748421,47.54873,0.8767757,64.63517,44.67386,127.987,218.3321,131.1975,134.3723,249.8102,134.2627,16.07085,0,100.0686,7.434053,43.46262,59.42967
7.452363,52.1498,0.7133541,71.28381,46.84906,136.183,223.7181,139.9409,147.4067,252.8398,134.2428,18.21586,0,107.0812,7.382145,46.60823,66.42198
7.086936,57.11224,0.605319,78.62103,49.18102,145.0123,229.6196,149.0462,160.9404,255.7997,134.5207,20.36595,0,114.5539,7.287502,50.05466,73.8656
