EL1: Electronic Ladder,A1: P3 F1,B1: P3 H8
152.4125,6.184208,15.82931
128.6558,6.205929,15.68119
109.6806,6.316624,15.5378
94.68867,6.259655,15.39723
83.35398,6.209993,15.30249
74.50935,6.110523,15.03794
67.80062,6.198935,14.96445
62.52628,6.13954,14.84382
59.22767,6.008617,14.77499
56.75893,6.048756,14.55215
55.00687,6.01895,14.43719
53.52545,6.135273,14.26188
52.47616,6.167355,13.95322
51.44522,6.000809,13.71386
50.72421,5.909742,13.41759
49.92419,5.842464,13.17355
49.17576,5.851934,13.03924
48.30043,5.710571,12.7891
48.00196,5.665245,12.6671
47.61724,5.703329,12.40141
47.07895,5.678549,12.20952
46.92889,5.808243,12.12652
46.89749,5.767948,12.0467
46.92075,5.779121,11.95938
47.17645,5.814981,12.02125
47.48476,5.724388,12.18531
47.87957,5.602072,12.18839
48.47378,5.505964,12.16164
49.55062,5.385004,12.13435
50.41106,5.291445,12.01908
51.42236,5.244972,11.90943
52.67937,5.246819,11.75361
53.67337,5.219069,11.58541
54.70521,5.270683,11.43507
55.93967,5.243776,11.48306
57.09141,5.19306,11.38162
58.44881,5.205616,11.25701
60.30965,5.255095,11.27626
62.52384,5.186956,11.31344
64.87007,5.129063,11.26682
67.41753,5.065065,11.24585
69.9974,4.990633,11.23808
72.6283,4.870272,11.19167
74.83287,4.711143,11.08963
76.90598,4.599255,11.03482
78.17733,4.562504,10.96449
79.09708,4.530741,11.02493
79.85885,4.53159,11.08465
80.00867,4.477762,11.06211
80.23985,4.46596,11.02665
79.97934,4.458868,10.98352
80.12814,4.501932,10.96843
80.21479,4.542028,10.88473
80.91386,4.527483,10.68594
81.86594,4.564238,10.61516
83.06207,4.479519,10.65518
85.35784,4.314405,10.74613
88.39478,4.217365,10.78758
92.76147,4.104305,10.84973
100.2734,3.972876,10.88398
111.2732,3.740877,10.79854
129.5123,3.66395,10.73419
159.4942,3.687939,10.59419
202.4525,3.609459,10.53314
258.2606,3.549007,10.41086
319.0791,3.49559,10.26664
380.6234,3.516722,10.23376
434.3946,3.56547,10.0727
474.1948,3.567173,10.13692
496.6637,3.55485,10.03649
499.2065,3.50156,9.954536
485.083,3.697784,9.858294
460.3896,3.867414,9.845953
427.2648,3.845442,9.959562
391.7967,3.88195,9.847034
351.8622,3.97451,9.824785
313.5379,4.102671,9.910975
275.9799,4.136953,9.876953
241.4358,4.149288,9.888386
210.9331,4.18294,9.772343
184.3872,4.219379,9.721245
161.9705,4.217812,9.698318
143.8161,4.183823,9.763544
128.2083,4.04047,9.738012
116.2876,3.97974,9.649099
106.7961,3.860033,9.634863
100.4204,3.863766,9.536308
95.38192,3.864954,9.502783
93.35226,3.997242,9.360878
92.64267,4.09734,9.329315
94.22371,4.263897,9.43235
96.90433,4.322062,9.541965
102.3827,4.445984,9.558043
110.2861,4.413807,9.541431
122.4735,4.390625,9.423532
141.3798,4.265696,9.312674
170.7986,4.236561,9.185246
210.9362,4.241756,9.25271
259.3776,4.349367,9.15033
308.4174,4.355122,9.120029
355.5263,4.382828,9.179235
393.5872,4.436676,9.089531
419.0917,4.490549,9.064743
428.2565,4.389147,9.052588
422.171,4.379936,9.020746
403.9083,4.288439,9.094601
378.5743,4.148193,9.163326
349.6916,4.199083,9.256481
318.0304,4.268021,9.264349
283.594,4.186771,9.279558
251.2514,4.071579,9.256624
219.5008,4.035387,9.185095
189.4948,4.004139,9.175577
161.8502,3.94524,9.247011
137.637,3.842312,9.329044
116.0849,3.790112,9.419889
97.27939,3.741585,9.412218
82.55047,3.864981,9.490728
70.45276,3.830034,9.545263
60.37433,3.763479,9.521681
52.84796,3.734131,9.372021
46.54646,3.698824,9.216421
41.43076,3.671221,9.184759
37.51205,3.619961,9.310919
34.6571,3.502001,9.437151
32.13435,3.536974,9.543045
30.0269,3.539171,9.619852
28.46075,3.592478,9.760206
26.90372,3.527679,9.815023
25.56643,3.466545,9.780455
24.37341,3.340534,9.608179
23.58046,3.156532,9.499575
22.75212,3.039274,9.551344
22.14318,2.91601,9.562025
21.61739,2.746008,9.595112
20.96795,2.59844,9.535105
20.34533,2.579205,9.516298
19.55369,2.637297,9.44989
18.72646,2.679817,9.413958
18.06227,2.672489,9.440197
17.34932,2.626167,9.374262
16.862,2.591988,9.377211
16.39036,2.613258,9.412085
15.86924,2.578085,9.433558
15.43531,2.401237,9.463758
15.2607,2.212887,9.495028
15.06444,2.11891,9.605385
14.83599,2.087755,9.633675
14.61701,2.130192,9.739784
14.32147,1.991917,9.757055
13.9205,1.887503,9.684681
13.43469,1.856153,9.670706
13.04265,1.869556,9.464151
12.63771,1.851645,9.337423
12.33934,1.781195,9.161167
12.20116,1.653158,9.155119
11.92788,1.515245,9.225971
11.69658,1.420429,9.183271
11.36579,1.415749,9.247416
10.9402,1.335674,9.145912
10.75631,1.399506,9.222736
10.48614,1.570673,9.204887
10.28107,1.762238,9.052839
10.23685,1.898647,8.909401
10.16339,1.950903,8.741104
9.926272,1.794609,8.684793
9.68505,1.603458,8.56286
9.49529,1.3491,8.417147
9.363746,1.19319,8.439472
9.389474,1.047306,8.33919
9.438195,0.9133091,8.34775
9.400531,0.9587669,8.293789
9.311664,0.8872662,8.235628
9.360101,0.842535,8.104757
9.367885,0.7561932,8.000463
9.111299,0.7501869,7.885592
8.719924,0.749485,7.712303
8.522365,0.8038216,7.642546
8.265935,0.9089298,7.649942
8.196654,1.087765,7.581955
8.012654,1.147429,7.479618
7.826961,1.169252,7.457781
7.440206,0.9844856,7.384357
7.225717,0.8725777,7.317116
7.17373,0.7366982,7.234676
6.929011,0.697916,7.086588
6.670002,0.5979252,6.885204
6.534923,0.6289616,6.681332
6.438015,0.6559811,6.483263
6.533257,0.7209454,6.297132
6.545789,0.7037907,6.158566
6.555316,0.7333717,6.051821
6.438367,0.6832161,5.896437
6.381869,0.7049942,5.738653
6.320765,0.7172832,5.632042
6.14119,0.6705589,5.561882
5.945993,0.549984,5.586597
5.762953,0.4286613,5.50663
5.588173,0.3041553,5.494413
5.522785,0.2928619,5.57489
5.494606,0.2880268,5.564787
5.46798,0.3619595,5.373453
5.308587,0.3586311,5.238373
5.249495,0.3859386,5.099937
5.238706,0.4361839,5.040335
5.190334,0.4361897,5.027187
5.051305,0.5255432,5.124279
4.876223,0.6253605,4.992046
4.631876,0.6692162,4.991455
4.561522,0.7877102,4.973633
4.465994,0.8177299,4.833616
4.224935,0.8026657,4.690071
4.138312,0.7520218,4.507067
4.119016,0.6807251,4.277502
4.15511,0.5813751,4.0571
4.014673,0.4766064,3.839781
3.865959,0.5295029,3.729185
3.694413,0.5183163,3.501852
3.649324,0.5587063,3.501877
3.608536,0.5281372,3.42791
3.568916,0.4778614,3.383387
3.633841,0.3770485,3.282148
3.723514,0.3714008,3.167519
3.584785,0.3484135,3.049421
3.514358,0.2459412,2.983091
3.163714,0.1941738,2.883362
2.882694,0.2810116,2.791939
2.646958,0.3450165,2.577906
2.617253,0.4135075,2.467058
2.573172,0.3643265,2.231117
2.59084,0.3407154,2.023949
2.863736,0.3743553,1.835987
3.039529,0.4962368,1.848429
3.121466,0.5852814,1.765409
3.130886,0.7031345,1.751881
3.064619,0.7555141,1.672535
2.924486,0.7136898,1.476017
2.7396,0.654089,1.359217
2.625036,0.4937649,1.369368
2.475174,0.4463692,1.269114
2.33345,0.3121662,1.159063
2.187563,0.2570019,1.226204
2.065569,0.1804829,1.239584
1.999933,0.09804344,1.225183
2.030875,0.1153984,1.05563
1.963203,0.05625725,0.8432674
1.873152,0,0.633564
1.838674,0,0.4545555
1.825872,0.1456432,0.2959766
1.817186,0.3577824,0.1306973
1.836123,0.414566,0.1435242
1.793012,0.4343147,0.4112358
1.7825,0.4004974,0.485981
1.9249,0.3280754,0.6238747
1.99916,0.2343159,0.6063728
1.891687,0.1042671,0.6475258
1.915131,0,0.67103
1.946418,0,0.437849
1.912895,0.01427841,0.4663429
1.767415,0,0.4644184
1.615232,0,0.6033897
1.468264,0,0.7175999
1.344907,0.033041,0.7494431
1.179396,0.02974129,0.7853718
0.9495754,0.02535629,0.8788586
0.7550297,0.03263855,0.9376068
0.6816721,0,0.8120174
0.6357079,0.01353836,0.6473866
0.4503126,0.0151062,0.5338058
0.3876772,0,0.3429356
0.4675207,0,0.223423
0.4860306,0.02254486,0
0.439743,0.08917427,0
0.3697405,0.03274918,0
0.323391,0,0
0.3896036,0.009117126,0
0.5059566,0,0
0.4813251,0,0.0319519
0.4162445,0.006940842,0.1351147
0.5166035,0.1910534,0.3330021
0.5475368,0.3383808,0.427372
0.434536,0.4166908,0.3573685
0.3445463,0.4340954,0.4185028
0.2284632,0.3728828,0.3592911
0.1239691,0.1740074,0.3232822
0.05033875,0.0877285,0.1756973
0,0,0.09187317
0.02062321,0,0
0,0.004377365,0
0.06807852,0.06236839,0
0.017869,0,0
0.06506681,0,0
0.05646276,0,0
0,0.03363609,0.02875328
0,0,0.1219006
0,0,0.1115131
0.09297991,0,0.1104355
0.08575058,0,0.0140667
0.09558344,0,0
0.292304,0,0
0.261899,0,0
0.34232,0,0.279995
0.1876287,0,0.5068531
0.013515,0.1988144,0.6909466
0,0.5116673,0.7850494
0.006629467,0.8924637,0.6887493
0,1.092035,0.6015682
0,1.110157,0.392868
0.1435337,0.9706669,0.2151241
0.2025676,0.7495232,0
0.1801243,0.5402927,0
0.1113133,0.2545261,0
0.0226512,0.05383301,0
0.05610228,0,0
0.02582645,0,0
0,0,0
0,0,0
0,0,0.04109955
0.09205103,0.08745956,0.1559868
0.1314468,0.5318508,0.1122589
