EL1: Electronic Ladder,A1: 4Wk,B1: 8Wk,C1: 12Wk,D1: 16Wk,E1: 20Wk,F1: 24Wk,G1: 28Wk,H1: 32Wk,A2: 36Wk,B2: 40Wk,C2: 44Wk,D2: 48Wk,E2: 52Wk
42.51573,0.009328365,0,0.02891874,0,0.04438353,0.239306,0.167654,0.01975536,2.749539,0.09802198,0.1224031,0.1643353,0.2161274
38.00323,0.08544827,0,0.04625511,0,0.06979275,0.1931167,0.1981425,0.01516008,3.399838,0.2045641,0.02647305,0.1218824,0.101294
34.11943,0,0,0.02641535,0,0.1449637,0.1571851,0.08646441,0.01342535,4.167341,0.1601996,0.03246498,0.08189821,0.06109333
30.83343,0,0,0,0,0.1406951,0.04978228,0.126123,0,4.956663,0.01198673,0.05631828,0,0.007208824
28.08009,0,0,0,0,0.162467,0,0.07762575,0.05486917,5.636387,0.05770111,0,0,0.07109594
25.57552,0,0,0,0,0.07894754,0,0.1037941,0.09958696,6.318649,0.01915312,0,0,0.1399274
23.51604,0,0,0.001368523,0,0.05615187,0,0.05558014,0.08808708,7.102131,0.008882046,0.07292747,0,0.1761847
21.80286,0,0,0,0,0.07545662,0,0.1228156,0.04158354,7.942394,0,0.05000591,0.03008509,0.2384543
20.47512,0,0,0,0,0.0003213882,0,0.1527958,0.1023197,8.697218,0.07448149,0.09540939,0.09854507,0.3197646
19.14278,0,0,0,0,0,0.04135609,0.09613943,0.09131575,9.433214,0.1579413,0.245698,0.07080221,0.3622565
18.04222,0,0,0,0,0,0,0.07161427,0.1424346,10.23539,0.1792316,0.2596169,0.09829569,0.4120264
16.84309,0,0,0,0,0,0,0.08352423,0.182951,11.05839,0.2394242,0.2692375,0.1486702,0.383821
16.03548,0,0,0,0,0.06686163,0,0,0.2045364,11.99847,0.1637769,0.4248638,0.0433197,0.3850732
15.28468,0,0,0,0,0,0,0,0.2444878,13.04428,0.1252518,0.4577169,0.04985523,0.2889619
14.43121,0,0,0.06758976,0,0.002587318,0,0,0.2306972,14.11278,0.08818913,0.4772921,0.08534813,0.2744994
13.87171,0,0,0.0845418,0,0,0,0,0.2085104,15.16127,0.01057434,0.4755535,0.1475959,0.2430563
13.48894,0,0,0.0404253,0,0,0,0.0178628,0.1913452,16.2835,0,0.4409742,0.1836157,0.204289
13.46001,0,0,0.03862667,0,0,0,0.1934376,0.1534224,17.35512,0.00454855,0.3090239,0.1484094,0.1894717
13.14586,0,0,0,0,0,0,0.1932359,0.1160479,18.47145,0,0.3522234,0.1163349,0.05946445
12.79887,0,0,0,0,0,0,0.1394873,0,19.50229,0.0485568,0.3659821,0,0
12.60898,0,0,0,0,0,0,0.08389759,0,20.54013,0.09537172,0.2545595,0.02961731,0
12.22836,0,0,0,0,0,0,0.1038594,0.02272224,21.50254,0.116827,0.1481647,0.0238533,0
11.97549,0,0,0,0,0,0,0.04991627,0.1121187,22.58816,0.1772542,0.1186981,0,0.04161501
11.68075,0,0.2422371,0,0.3626556,0,0,0.028018,0.06619263,23.79425,0.1449337,0.04373932,0.06042004,0.1418409
11.16488,0,1.1486,0,1.056097,0,0,0,0.08213329,24.9996,0.04561043,0.01766014,0.131753,0.2616014
10.84782,0,2.054297,0,1.943352,0,0,0.01118755,0.06262779,26.1638,0.03922033,0,0.2047033,0.3913174
10.45394,1.538568,2.974502,0,2.863806,0,0,0,0.159337,27.43962,0.06695795,0,0.2267962,0.3797402
10.1925,3.168653,4.126513,0.007692337,3.845762,0,0,0.02965879,0.2375178,28.84378,0.09985018,0,0.1062317,0.2549901
9.845958,4.868147,5.363292,0,4.977343,0,0,0.07930231,0.2489238,30.23452,0.09222651,0,0,0.1152663
9.430903,6.57221,6.5911,0,6.047274,0,0,0.1440954,0.1648126,31.6372,0.3086338,0,0,0
9.227633,8.375406,7.974185,0,7.173334,0,0,0.1363034,0.1467767,33.00644,0.4136648,0,0,0
8.951421,10.36068,9.499793,0,8.511137,0,0,0.214303,0.1484699,34.40902,0.4136162,0,0.00846529,0.1309471
8.649407,12.36382,11.11992,0,9.904161,0,0,0.1254387,0.1282873,35.8806,0.4746494,0.0995388,0.08399439,0.2829556
8.43328,14.48859,12.90798,0,11.1949,0,0,0.06289053,0.05197144,37.31892,0.4106426,0.1661282,0.07315445,0.3789091
8.136649,16.70077,14.61189,0,12.57769,0,0,0,0.02437973,38.83805,0.3730655,0.08058643,0.1068387,0.4107637
7.748421,19.00317,16.59643,0,14.06875,0,0,0.03351784,0,40.3974,0.3801546,0.04161072,0.1375403,0.5075135
7.452363,21.4581,18.6907,0,15.62701,0,0,0,0.04224014,41.82084,0.4193125,0.09490395,0.2214599,0.4632735
7.086936,23.93959,21.00265,0,17.14437,0,0,0,0.03243589,43.34627,0.307713,0.1098795,0.2911325,0.3605099
6.854991,26.55207,23.27074,0,18.66524,0,0,0.07067347,0.03302574,44.87057,0.2569871,0.1805525,0.4181142,0.2843232
