EL1: Electronic Ladder,A1: 4WkDry_F_2,B1: 4WkDry_F_3,C1: 8WkDry_F_2,D1: 8WkDry_F_3,E1: 12WkDry_F_2,F1: 12WkDry_F_3,G1: 16WkDry_F_2,H1: 16WkDry_F_3,A2: 20WkDry_F_2,B2: 20WkDry_F_3,C2: 24WkDry_F_2,D2: 24WkDry_F_3,E2: 28WkDry_F_2,F2: 28WkDry_F_3
0,0.1787095,0.03259182,0.2560124,0,0.002071381,0,0,0,0.3071375,0.2507725,0.375001,0.2897472,0.09247327,0.2204909
0,0.2386041,0.06283474,0.2321,0,0,0,0.009315014,0,0.3415427,0.1954603,0.3365417,0.3677082,0.003401995,0.1475091
0.08420372,0.2333574,0,0.1954503,0,0.01193333,0,0,0.01648521,0.3661518,0.07714128,0.2734137,0.4518967,0,0.1717281
0.03852177,0.09111261,0,0.1893244,0,0.1258559,0.03026104,0,0,0.4224725,0.04488993,0.278924,0.4250355,0,0.205358
0.1143756,0.01500654,0,0.2729464,0.01990557,0.2081685,0.03493404,0,0,0.5608654,0,0.2932959,0.3540559,0.02697015,0.2940145
0.2220144,0,0,0.2448311,0.0230751,0.292572,0.0344162,0.001009941,0.06572485,0.5267715,0,0.2299194,0.2773099,0.009176254,0.2715693
0.4593344,0,0,0.1304841,0.1751351,0.3031592,0.03929424,0,0.02804708,0.4648337,0,0.2249503,0.1951799,0.1359348,0.2425456
0.3339543,0,0.04028511,0.2484541,0.1785808,0.1853199,0.012043,0.003654957,0.1465373,0.3301034,0.141551,0.3089008,0.07798624,0.1301217,0.2049904
0.2182727,0.02988815,0,0.3196659,0.2158904,0.139101,0.08940506,0.04912138,0.1835613,0.2141016,0.2085772,0.3999209,0.1115365,0.1260686,0.2884307
0.2291179,0.04803753,0.07751703,0.3283648,0.2651997,0.171072,0.1086082,0.07250786,0.2005243,0.1964374,0.3231301,0.4874473,0.1587644,0.1160655,0.1996808
0.2393465,0.05055571,0.1643276,0.2995915,0.2723432,0.1758943,0.1612644,0.0283823,0.1760879,0.2373533,0.3619037,0.5120711,0.2025042,0.1353111,0.1355786
0.2078538,0.09394979,0.219636,0.2619691,0.2502675,0.1172533,0.1166015,0.08739042,0.1297421,0.2700253,0.2437859,0.5528717,0.194469,0.1328673,0.01655006
0.1527991,0.04673147,0.1722622,0.2180357,0.2751369,0.1599712,0.1247859,0.08755827,0.06346226,0.2274468,0.1092491,0.5103292,0.2221093,0.1482387,0
0,0.06688023,0.1295352,0.1999946,0.4170804,0.2680149,0.1677856,0.09826851,0.03197956,0.3229418,0.05911112,0.4027309,0.08972359,0.1331501,0
0.02681494,0.135067,0.1620111,0.2121959,0.3864636,0.2676806,0.2256098,0.07019567,0.0866518,0.5377202,0.02971172,0.4130177,0.02910709,0.1066358,0.01871681
0,0.0847826,0.1139164,0.1135068,0.3418837,0.2319598,0.2446346,0.06366062,0.1949043,0.6672416,0.02931118,0.3456702,0,0.149457,0.04115725
0,0.1284614,0.1440654,0.1599154,0.3145247,0.1619458,0.3165054,0.01451302,0.1689324,0.6907687,0.02679634,0.2951746,0,0.1336694,0.08392763
0,0.02999783,0.1703391,0.1912408,0.1936808,0,0.3469377,0.0199914,0.2632322,0.7074685,0.02494669,0.3362207,0,0.001675129,0.06736565
0.004436493,0.01258135,0.1290798,0.1967931,0.1621418,0.01989794,0.3313904,0.02389812,0.2982554,0.660542,0.06246424,0.2820268,0.06792021,0.01460075,0.1256242
0.1063318,0,0.2620926,0.2276611,0.1422577,0.09244871,0.3488007,0,0.2786865,0.6144094,0.1522384,0.2137947,0.2465291,0.03220749,0.1624618
0.03486204,0,0.2734356,0.2758484,0.1372952,0.1400056,0.3599682,0.03969812,0.2886567,0.4487095,0.223537,0.1544285,0.3203602,0.03203607,0.2501111
0.07004738,0,0.2156057,0.227078,0.1144004,0.08397436,0.2598495,0.09800148,0.3070741,0.3073668,0.2216249,0.08570051,0.3907442,0.1045978,0.3030081
0.1939974,0.07477045,0.2088923,0.2820468,0.173923,0.04389429,0.1486444,0.06130409,0.258491,0.1349597,0.3409772,0.02608919,0.3943014,0.1750734,0.2929921
0.2114682,0.1420608,0.1063294,0.3022132,0.3230438,0.03483009,0.1866355,0.08722496,0.2121825,0.02372789,0.4367704,0,0.259131,0.1531451,0.3008299
0.3254375,0.2460213,0.1137328,0.3323598,0.3623533,0.06105089,0.1938014,0.1012626,0.2453618,0.05461359,0.4603672,0,0.2555418,0.08999324,0.281116
0.3272204,0.2549815,0,0.2621536,0.3346629,0,0.103786,0,0.2085462,0.06748962,0.4473414,0,0.1248384,0.1138725,0.3082395
0.3582625,0.2502422,0,0.2335057,0.3508458,0.1141362,0.1478443,0,0.1297064,0.04870534,0.4029813,0,0.1088758,0.05248117,0.2492461
0.6224704,0.1243949,0.03150129,0.1913233,0.304358,0.07484388,0.1484752,0,0.1370249,0.134558,0.3335524,0.1287594,0.238441,0,0.1575236
0.6738214,0.1273122,0.06305265,0.2286558,0.2595859,0.1868906,0.2039037,0,0.2149444,0.147506,0.242331,0.09599257,0.2735739,0.02576923,0.1555023
0.6119556,0.04274082,0.2026191,0.1864562,0.2257819,0.1640606,0.2677736,0.09932756,0.3010912,0.1216791,0.1894164,0.1733994,0.3082871,0,0.2098866
0.3347888,0,0.3233876,0.1669774,0.2644591,0.2283921,0.2250409,0.2069178,0.3685384,0.06343436,0.1113019,0.1254349,0.2237425,0.005802393,0.2671418
0.1531692,0,0.4139953,0.06334782,0.2540584,0.1766605,0.2045918,0.1469545,0.4959116,0.1225021,0,0.06538963,0.2225103,0.1029818,0.3298755
0.07856035,0.09370804,0.4791527,0.113122,0.2048383,0.09671259,0.06124163,0.1285667,0.4826941,0.1273806,0.006327152,0.07574892,0.172328,0.1803184,0.3031731
0.02700949,0.1569667,0.3923278,0.07090712,0.2760777,0,0.06045246,0.1007438,0.4819593,0.161273,0.04053926,0.1428704,0.04029131,0.1138852,0.3044815
0,0.1843596,0.399446,0.07779646,0.2892923,0,0,0.1031642,0.3393497,0.1542211,0.04875183,0.1841354,0.1033497,0.07490182,0.2027106
0,0.1795335,0.2737679,0,0.1741209,0,0,0.04800081,0.2593551,0.1578653,0.08249521,0.1309967,0.1046386,0.04141402,0.1875191
0,0.1322961,0.1714282,0,0.1431003,0.04844141,0,0.1099467,0.230762,0.1133444,0.1493726,0.1258016,0.1911721,0.001296282,0.1248245
0,0.06897545,0.2091651,0,0.08142996,0.06385469,0.002696514,0.2011685,0.236609,0.09429336,0.1221218,0.06132984,0.2972574,0,0.05740833
0.04109764,0.1436057,0.06561089,0.0435214,0.03248215,0.1122828,0.09268522,0.1978893,0.2611485,0.05072069,0.05366898,0.05730438,0.3809681,0.03861809,0.145267
0,0.1065316,0.02771473,0,0,0.07621813,0.1789584,0.2029414,0.2043023,0.04339314,0.1036048,0.1446133,0.3953724,0.09821105,0.2123299
0.02638292,0.1189079,0.1212749,0.02167034,0,0.1668496,0.2110314,0.1341991,0.2257867,0.01943612,0.1294618,0.07378197,0.3846207,0.136138,0.197453
0.06229401,0.1828508,0.1775732,0.07630157,0,0.2030783,0.3175077,0.03606653,0.3196521,0.1178746,0.1382132,0.1396666,0.3687949,0.2251105,0.2213116
