EL1: Electronic Ladder,A1: Fresh_Mo_F_1,B1: Fresh_Mo_F_2,C1: Fresh_Mo_F_3
7.999272,138.919,43.11493,142.247
8.483399,140.2635,43.48458,142.8185
9.100471,141.6158,43.75787,143.1048
9.723855,143.1011,44.06812,143.405
10.54847,144.4539,44.31786,143.5427
11.37495,145.9562,44.69375,143.9307
12.50006,147.5253,45.03941,144.1566
13.92115,148.9311,45.52233,144.3407
15.43674,150.4052,45.97844,144.8153
17.24239,151.7802,46.51025,145.8823
19.26184,153.1923,47.01313,146.6622
21.67051,154.8771,47.58624,147.6502
24.47736,156.3958,48.07217,148.5098
27.67189,157.9827,48.54728,149.6271
31.58931,159.7492,48.90237,151.0542
35.96396,161.0126,49.30556,152.4834
40.95355,162.3764,49.76072,153.9534
46.12794,163.6714,50.17997,155.3346
51.64317,165.1482,50.73493,156.7567
57.59286,166.5165,51.31685,158.3393
63.7354,167.8875,51.93463,159.7816
69.85553,169.5394,52.50216,161.1631
75.89359,171.2286,53.08348,162.5078
81.78076,173.1938,53.41014,163.9784
87.19453,174.9857,53.74414,165.475
91.76865,176.376,54.17009,167.182
95.54222,177.8774,54.5511,168.6541
98.08273,179.3579,54.72313,170.1496
99.29156,180.4702,55.08345,171.4747
99.06339,181.6065,55.24472,172.5269
97.45181,182.4112,55.51148,173.6341
94.50578,183.3388,55.77344,174.6151
90.77435,184.0969,56.1113,175.7079
86.22996,184.7837,56.26112,176.9028
80.70927,185.072,56.60843,178.356
74.90852,184.7567,56.80574,179.4828
68.94247,184.719,56.97902,180.29
62.84081,184.4252,57.01348,181.3017
56.55688,184.0094,57.18914,182.1627
50.46388,184.3626,57.32191,182.7211
44.74711,184.3653,57.52301,183.0028
39.44721,184.4902,57.71234,182.9573
34.87772,184.5814,57.97238,183.1706
30.95333,184.9755,58.26928,183.2359
27.34794,185.6654,58.53073,183.6889
24.55551,185.8288,58.74703,183.1039
22.37551,186.5249,59.03543,182.8664
20.65787,187.5821,59.30362,182.8212
19.16058,187.9814,59.60285,182.849
18.21872,188.837,59.91897,183.185
17.438,189.2297,60.17984,183.3053
16.86738,189.6532,60.28376,183.5349
16.64213,190.3155,60.46067,184.1566
16.57688,190.8758,60.6585,184.6973
16.45852,191.5151,60.67266,185.4164
16.46589,191.7791,60.7083,185.3297
16.63826,192.3912,60.88455,185.6936
16.67247,193.0583,61.01513,185.7829
16.84927,192.9352,61.1029,186.0232
17.22406,192.5588,61.2645,186.7372
17.14243,192.7064,61.59403,187.4261
17.43853,192.4499,61.78572,187.8706
17.82478,192.6061,62.03333,188.3006
17.96032,192.7782,62.3241,189.1638
18.25215,193.2223,62.51232,189.5849
18.41615,193.8289,62.62069,189.4607
18.5258,194.4622,62.83886,189.6379
18.76223,195.0367,62.83041,189.3749
19.05353,195.4697,62.81752,189.3761
19.16386,194.9718,62.75977,189.5522
19.16387,195.0973,62.76936,189.6962
19.28988,195.0127,62.74026,189.6403
19.35769,194.9399,62.76425,189.7324
19.3758,195.2994,62.9116,190.4261
19.57454,195.4586,63.03277,190.681
19.62598,195.6665,63.05883,190.4221
19.78218,195.8941,63.11332,190.5464
20.18354,196.3872,63.20414,190.7433
20.41926,195.836,63.25006,190.8049
20.65388,195.2974,63.28526,191.1056
21.04916,195.2594,63.27703,191.2014
21.33175,195.3561,63.38452,191.1591
21.92436,195.3638,63.59456,191.5816
22.47783,195.6306,63.76057,192.1927
23.19967,195.5008,63.86235,192.454
